type,filter_value,total,phone,email,info_request,complaints,other,last_update
global,-,14022,6416,7606,4819,7351,1852,20260406
line,1001,1,1,0,0,1,0,20260406
line,1002,1,0,1,0,1,0,20260406
line,1003,12,2,10,0,8,4,20260406
line,1004,1,0,1,0,1,0,20260406
line,1005,4,4,0,0,0,4,20260406
line,1008,2,0,2,0,2,0,20260406
line,1011,6,0,6,0,6,0,20260406
line,1013,9,2,7,0,9,0,20260406
line,1014,14,5,9,0,13,1,20260406
line,1015,2,2,0,0,2,0,20260406
line,1101,2,0,2,0,2,0,20260406
line,1103,16,9,7,0,15,1,20260406
line,1104,2,0,2,0,2,0,20260406
line,1105,4,0,4,0,4,0,20260406
muncipality,1105,63,35,28,26,33,4,20260406
line,1106,7,4,3,0,6,1,20260406
muncipality,1106,1421,900,521,695,585,141,20260406
muncipality,1107,288,107,181,77,144,67,20260406
line,1107,4,0,4,0,4,0,20260406
muncipality,1109,267,148,119,149,72,46,20260406
line,1109,3,0,3,0,3,0,20260406
muncipality,1110,335,112,223,70,201,64,20260406
muncipality,1111,791,309,482,194,502,95,20260406
line,1111,2,0,2,0,2,0,20260406
line,1114,5,0,5,0,5,0,20260406
muncipality,1114,192,88,104,63,96,33,20260406
muncipality,1115,328,139,189,91,193,44,20260406
line,1115,2,2,0,0,2,0,20260406
muncipality,1116,165,62,103,41,87,37,20260406
line,1117,1,0,1,0,1,0,20260406
line,1120,11,3,8,0,11,0,20260406
line,1121,2,2,0,0,2,0,20260406
line,1122,2,2,0,0,2,0,20260406
line,1123,3,2,1,0,3,0,20260406
line,1125,2,0,2,0,0,2,20260406
line,1201,3,3,0,0,3,0,20260406
line,1204,7,5,2,0,6,1,20260406
line,1205,9,3,6,0,9,0,20260406
line,1206,11,4,7,0,11,0,20260406
line,1208,18,11,7,0,16,2,20260406
line,1209,13,10,3,0,13,0,20260406
line,1210,6,3,3,0,6,0,20260406
line,1211,1,0,1,0,1,0,20260406
line,1212,2,0,2,0,2,0,20260406
line,1213,15,13,2,0,15,0,20260406
line,1215,1,1,0,0,1,0,20260406
line,1216,12,3,9,0,12,0,20260406
line,1217,6,3,3,0,6,0,20260406
line,1218,1,0,1,0,1,0,20260406
line,1220,6,4,2,0,6,0,20260406
line,1222,10,5,5,0,10,0,20260406
line,1223,29,8,21,0,28,1,20260406
line,1224,11,9,2,0,11,0,20260406
line,1225,2,2,0,0,2,0,20260406
line,1226,7,1,6,0,5,2,20260406
line,1227,1,1,0,0,1,0,20260406
line,1228,1,1,0,0,1,0,20260406
line,1229,2,0,2,0,2,0,20260406
line,1230,16,2,14,0,15,1,20260406
line,1232,3,1,2,0,3,0,20260406
line,1233,15,12,3,0,15,0,20260406
line,1234,24,19,5,0,24,0,20260406
line,1235,16,9,7,0,16,0,20260406
line,1240,7,3,4,0,6,1,20260406
line,1241,2,2,0,0,2,0,20260406
line,1242,9,4,5,0,9,0,20260406
line,1244,2,2,0,0,2,0,20260406
line,1245,11,5,6,0,10,1,20260406
line,1247,3,0,3,0,3,0,20260406
line,1248,15,7,8,0,15,0,20260406
line,1249,13,4,9,0,13,0,20260406
line,1250,14,5,9,0,14,0,20260406
line,1251,13,9,4,0,13,0,20260406
line,1252,2,2,0,0,2,0,20260406
line,1253,7,5,2,0,5,2,20260406
line,1254,7,7,0,0,7,0,20260406
line,1255,3,0,3,0,1,2,20260406
line,1501,3,1,2,0,3,0,20260406
muncipality,1502,150,53,97,41,98,11,20260406
line,1502,20,11,9,0,18,2,20260406
muncipality,1503,401,164,237,118,213,70,20260406
line,1503,5,3,2,0,5,0,20260406
line,1504,1,0,1,0,1,0,20260406
muncipality,1504,106,58,48,38,49,19,20260406
muncipality,1506,179,50,129,30,135,14,20260406
line,1507,4,4,0,0,4,0,20260406
muncipality,1507,195,58,137,50,128,17,20260406
muncipality,1508,182,62,120,63,101,18,20260406
line,1509,6,4,2,0,6,0,20260406
muncipality,1510,297,90,207,53,189,55,20260406
line,1510,12,9,3,0,12,0,20260406
line,1511,5,5,0,0,5,0,20260406
muncipality,1511,122,50,72,55,49,18,20260406
line,1512,5,2,3,0,5,0,20260406
muncipality,1512,590,239,351,204,319,67,20260406
line,1513,3,3,0,0,3,0,20260406
line,1514,7,0,7,0,7,0,20260406
line,1515,1,1,0,0,1,0,20260406
line,1516,2,2,0,0,2,0,20260406
line,1517,4,0,4,0,3,1,20260406
line,1518,11,4,7,0,11,0,20260406
line,1519,5,5,0,0,5,0,20260406
line,1520,2,0,2,0,2,0,20260406
line,1521,3,0,3,0,3,0,20260406
line,1522,7,0,7,0,7,0,20260406
line,1523,4,2,2,0,2,2,20260406
line,1524,9,0,9,0,8,1,20260406
line,1525,31,10,21,0,31,0,20260406
line,1527,2,1,1,0,2,0,20260406
line,1529,6,5,1,0,6,0,20260406
line,1531,1,0,1,0,1,0,20260406
line,1601,26,8,18,0,26,0,20260406
line,1603,11,6,5,0,11,0,20260406
line,1604,6,2,4,0,6,0,20260406
line,1605,6,1,5,0,6,0,20260406
line,1606,17,11,6,0,15,2,20260406
line,1607,17,11,6,0,17,0,20260406
line,1608,9,3,6,0,9,0,20260406
line,1611,3,0,3,0,3,0,20260406
line,1612,8,4,4,0,8,0,20260406
line,1613,3,2,1,0,3,0,20260406
line,1614,10,10,0,0,10,0,20260406
line,1615,2,2,0,0,2,0,20260406
line,1616,4,2,2,0,4,0,20260406
line,1618,10,2,8,0,8,2,20260406
line,1619,16,11,5,0,16,0,20260406
line,1620,8,3,5,0,7,1,20260406
line,1622,29,20,9,0,29,0,20260406
line,1623,6,6,0,0,6,0,20260406
line,1624,13,2,11,0,13,0,20260406
line,1625,10,9,1,0,10,0,20260406
line,1626,6,0,6,0,6,0,20260406
line,1627,2,0,2,0,2,0,20260406
line,1628,4,4,0,0,4,0,20260406
line,1629,7,1,6,0,7,0,20260406
line,1630,1,1,0,0,1,0,20260406
line,1631,15,15,0,0,15,0,20260406
line,1632,1,0,1,0,0,1,20260406
line,1633,23,15,8,0,23,0,20260406
line,1634,2,2,0,0,2,0,20260406
line,1635,13,0,13,0,13,0,20260406
line,1636,3,0,3,0,3,0,20260406
line,1637,2,2,0,0,2,0,20260406
line,1701,4,4,0,0,4,0,20260406
line,1703,2,0,2,0,2,0,20260406
line,1704,30,9,21,0,30,0,20260406
line,1705,2,2,0,0,2,0,20260406
line,1706,17,9,8,0,17,0,20260406
line,1707,25,12,13,0,25,0,20260406
line,1708,2,0,2,0,2,0,20260406
line,1709,11,2,9,0,10,1,20260406
line,1710,5,1,4,0,5,0,20260406
line,1711,8,4,4,0,7,1,20260406
line,1712,8,6,2,0,8,0,20260406
line,1713,24,7,17,0,24,0,20260406
line,1714,7,4,3,0,7,0,20260406
line,1715,27,19,8,0,27,0,20260406
line,1716,14,9,5,0,13,1,20260406
line,1717,16,3,13,0,16,0,20260406
