id,name,lat,lon,A1,A2,A3,A4,is_active,validation_date,Parent Station Name,Parent Station ID,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name
P00001,25 de Abril (Metro) (A),38.685502,-9.148435,0,0,1,0,,,25 de Abril (Metro),I020130,,"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",1503,Almada,15,Setúbal,PT170,AML
P00002,25 de Abril (Metro) (B),38.683732,-9.150066,0,0,1,0,,,25 de Abril (Metro),I020130,,"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",1503,Almada,15,Setúbal,PT170,AML
P00003,Agualva-Cacém (Estação) (A),38.767442,-9.299209,1,0,0,0,,,Agualva-Cacém (Estação),I170002,,União das freguesias de Agualva e Mira-Sintra,1111,Sintra,11,Lisboa,PT170,AML
P00004,Agualva-Cacém (Estação) (B),38.768230,-9.299513,1,0,0,0,,,Agualva-Cacém (Estação),I170002,,União das freguesias de Agualva e Mira-Sintra,1111,Sintra,11,Lisboa,PT170,AML
P00005,Agualva-Cacém (Estação) (C),38.768176,-9.299924,1,0,0,0,,,Agualva-Cacém (Estação),I170002,,União das freguesias de Agualva e Mira-Sintra,1111,Sintra,11,Lisboa,PT170,AML
P00006,Agualva-Cacém (Estação) (D),38.766798,-9.301402,1,0,0,0,,,Agualva-Cacém (Estação),I170002,,União das freguesias de Agualva e Mira-Sintra,1111,Sintra,11,Lisboa,PT170,AML
P00007,Agualva-Cacém (Estação) (E),38.766335,-9.297822,1,0,0,0,,,Agualva-Cacém (Estação),I170002,,União das freguesias de Agualva e Mira-Sintra,1111,Sintra,11,Lisboa,PT170,AML
P00008,Agualva-Cacém (Estação) (F),38.765122,-9.297235,1,0,0,0,,,Agualva-Cacém (Estação),I170002,,União das freguesias de Agualva e Mira-Sintra,1111,Sintra,11,Lisboa,PT170,AML
P00009,Algés (Estação) (A),38.699586,-9.226978,1,0,0,0,,,Algés (Estação),I120005,,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",1110,Oeiras,11,Lisboa,PT170,AML
P00010,Algés (Estação) (B),38.700175,-9.227592,1,0,0,0,,,Algés (Estação),I120005,,"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",1110,Oeiras,11,Lisboa,PT170,AML
