id,name,lat,lon,A1,A2,A3,A4,is_active,validation_date,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,stops
TRAIN_001,Praias do Sado A,38.518151,-8.837840,0,0,0,1,,,,151208,Sado,1512,Setúbal,15,Setúbal,PT170,AML,160701|160702
TRAIN_002,Setúbal - Praça Quebedo,38.524850,-8.886579,0,0,0,1,,,,151210,"União das freguesias de Setúbal (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça)",1512,Setúbal,15,Setúbal,PT170,AML,
TRAIN_003,Setúbal,38.530688,-8.885298,0,0,0,1,,,,151210,"União das freguesias de Setúbal (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça)",1512,Setúbal,15,Setúbal,PT170,AML,160067|160068|160095|160117|160118|160141|160201|160213|162001|162002|162003|162004|162005|162006|162007|162008|162011
TRAIN_004,Palmela,38.571094,-8.872695,0,0,0,1,,,,150802,Palmela,1508,Palmela,15,Setúbal,PT170,AML,130009
TRAIN_005,Coina,38.584995,-9.051202,0,0,1,0,,,,151007,"União das freguesias do Seixal, Arrentela e Aldeia de Paio Pires",1510,Seixal,15,Setúbal,PT170,AML,140027|140028|140857
TRAIN_006,Penalva,38.590223,-8.995550,0,0,0,1,,,,150804,Quinta do Anjo,1508,Palmela,15,Setúbal,PT170,AML,130093
TRAIN_007,Venda do Alcaide,38.606482,-8.888855,0,0,0,1,,,,150802,Palmela,1508,Palmela,15,Setúbal,PT170,AML,130213
TRAIN_008,Fogueteiro,38.610217,-9.101295,0,0,1,0,,,,151007,"União das freguesias do Seixal, Arrentela e Aldeia de Paio Pires",1510,Seixal,15,Setúbal,PT170,AML,140039|140139|140537|140555|149003|149992|149993
TRAIN_009,Foros de Amora,38.620925,-9.128522,0,0,1,0,,,,151002,Amora,1510,Seixal,15,Setúbal,PT170,AML,140167|140168|149989|149990|149991
TRAIN_010,Pinhal Novo,38.630108,-8.912776,0,0,0,1,,,,150803,Pinhal Novo,1508,Palmela,15,Setúbal,PT170,AML,130229|130230
TRAIN_011,Poceirão,38.634495,-8.743383,0,0,0,1,,,,150806,União das freguesias de Poceirão e Marateca,1508,Palmela,15,Setúbal,PT170,AML,130159|130160
TRAIN_012,Fernando - Pó,38.636480,-8.691080,0,0,0,1,,,,150806,União das freguesias de Poceirão e Marateca,1508,Palmela,15,Setúbal,PT170,AML,130285|130286
TRAIN_013,Corroios,38.636594,-9.151559,0,0,1,0,,,,151005,Corroios,1510,Seixal,15,Setúbal,PT170,AML,140089|149996|149997|149998|149999
TRAIN_014,Penteado,38.638296,-8.956763,0,0,0,1,,,,150603,Moita,1506,Moita,15,Setúbal,PT170,AML,
TRAIN_015,Moita,38.644774,-8.995962,0,0,0,1,,,,150603,Moita,1506,Moita,15,Setúbal,PT170,AML,090051|090052
TRAIN_016,Alhos Vedros,38.651942,-9.026952,0,0,0,1,,,,150601,Alhos Vedros,1506,Moita,15,Setúbal,PT170,AML,090013|090014|090211
TRAIN_017,Barreiro,38.652590,-9.079407,0,0,0,1,,,,150410,União das freguesias de Barreiro e Lavradio,1504,Barreiro,15,Setúbal,PT170,AML,040013|040020|040022|040024|040027|040026
TRAIN_018,Baixa da Banheira,38.659346,-9.043600,0,0,0,1,,,,150607,União das freguesias de Baixa da Banheira e Vale da Amoreira,1506,Moita,15,Setúbal,PT170,AML,090195|090209
TRAIN_019,Pegões,38.662247,-8.619210,0,0,0,1,,,,150711,União das freguesias de Pegões,1507,Montijo,15,Setúbal,PT170,AML,
TRAIN_020,Barreiro-A,38.659652,-9.071699,0,0,0,1,,,,150410,União das freguesias de Barreiro e Lavradio,1504,Barreiro,15,Setúbal,PT170,AML,
TRAIN_021,Lavradio,38.661824,-9.058303,0,0,0,1,,,,150410,União das freguesias de Barreiro e Lavradio,1504,Barreiro,15,Setúbal,PT170,AML,040103
TRAIN_022,São João das Craveiras,38.667923,-8.585784,0,0,0,1,,,,150711,União das freguesias de Pegões,1507,Montijo,15,Setúbal,PT170,AML,100221|100222
TRAIN_023,Pragal,38.666225,-9.179246,0,0,1,0,,,,150312,"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",1503,Almada,15,Setúbal,PT170,AML,020073|020275|020276|020769|027997|027998|027999
TRAIN_024,Santo Amaro,38.686900,-9.311946,1,0,0,0,,,,111014,"União das freguesias de Oeiras e São Julião da Barra, Paço de Arcos e Caxias",1110,Oeiras,11,Lisboa,PT170,AML,120837|120873
TRAIN_025,Carcavelos,38.687813,-9.337409,1,0,0,0,,,,110507,União das freguesias de Carcavelos e Parede,1105,Cascais,11,Lisboa,PT170,AML,050009|050418
