operator_id,line_id,stop_id,date,validations
44,4701,060001,2024-01-04,1777
42,2794,060361,2024-01-04,1514
44,4720,060011,2024-01-04,1202
41,1715,170459,2024-01-04,1140
42,2769,060302,2024-01-04,1133
44,4703,060002,2024-01-04,1036
42,2706,060226,2024-01-04,974
43,3105,140039,2024-01-04,888
41,1710,060071,2024-01-04,832
42,2790,061206,2024-01-04,807
43,3013,020088,2024-01-04,807
43,3113,149992,2024-01-04,792
42,2772,060301,2024-01-04,789
42,2730,060327,2024-01-04,784
41,1703,030119,2024-01-04,782
41,1709,060068,2024-01-04,779
44,4720,162001,2024-01-04,777
42,2797,060311,2024-01-04,771
41,1721,060134,2024-01-04,762
44,4701,090260,2024-01-04,742
41,1005,030119,2024-01-04,742
44,4710,060009,2024-01-04,736
41,1212,172536,2024-01-04,733
42,2740,060337,2024-01-04,727
42,2728,060323,2024-01-04,725
41,1502,121061,2024-01-04,699
44,4602,040020,2024-01-04,691
43,3620,140857,2024-01-04,679
42,2303,182200,2024-01-04,672
42,2725,060253,2024-01-04,671
42,2524,111025,2024-01-04,663
42,2601,110409,2024-01-04,653
42,2781,111025,2024-01-04,645
41,1709,060071,2024-01-04,635
43,3108,149991,2024-01-04,630
42,2715,060302,2024-01-04,622
43,3101,140167,2024-01-04,615
42,2769,071269,2024-01-04,613
42,2781,060062,2024-01-04,609
44,4600,040024,2024-01-04,607
41,1714,030317,2024-01-04,606
44,4411,162003,2024-01-04,605
42,2729,060325,2024-01-04,603
41,1717,060125,2024-01-04,596
41,1120,121291,2024-01-04,590
44,4701,090262,2024-01-04,581
43,3508,020955,2024-01-04,581
44,4512,162008,2024-01-04,579
42,2804,060337,2024-01-04,560
41,1523,172486,2024-01-04,560
44,4725,162005,2024-01-04,550
41,1723,060143,2024-01-04,544
44,4725,060013,2024-01-04,537
44,4720,161002,2024-01-04,529
42,2703,060310,2024-01-04,524
44,4706,060002,2024-01-04,521
41,1103,120261,2024-01-04,518
41,1724,060462,2024-01-04,515
41,1502,030845,2024-01-04,514
42,2823,060355,2024-01-04,511
42,2713,060259,2024-01-04,506
42,2801,060312,2024-01-04,501
42,2711,060011,2024-01-04,501
42,2831,060357,2024-01-04,501
43,3112,149993,2024-01-04,500
41,1715,060115,2024-01-04,498
41,1003,030119,2024-01-04,492
43,3710,020665,2024-01-04,490
41,1709,110027,2024-01-04,488
42,2803,060314,2024-01-04,486
42,2824,060062,2024-01-04,482
41,1005,030253,2024-01-04,481
42,2708,060207,2024-01-04,479
41,1716,170599,2024-01-04,478
41,1715,170488,2024-01-04,477
44,4705,060002,2024-01-04,475
41,1706,030850,2024-01-04,475
41,1703,030409,2024-01-04,471
41,1711,060071,2024-01-04,463
41,1219,172489,2024-01-04,461
42,2710,060171,2024-01-04,460
42,2219,111026,2024-01-04,458
43,3526,140089,2024-01-04,453
43,3620,040119,2024-01-04,452
41,1003,030157,2024-01-04,448
