id,name,lat,lon,A1,A2,A3,A4,phone,email,url,address,postal_code,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,stops
CST001,Loja de Cidadão de Cascais,38.699222,-9.423243,1,0,0,0,300 003 990,,https://eportugal.gov.pt/locais-de-atendimento-de-servicos-publicos/loja-de-cidadao-de-cascais,"Rua Manuel Joaquim Avelar, n.º 118, -1",2750-421,Cascais,08,União das freguesias de Cascais e Estoril,1105,Cascais,11,Lisboa,PT170,AML,050251|050317
CST002,Loja de Cidadão das Laranjeiras - Lisboa,38.750428,-9.171225,1,0,0,0, 300 003 990 ,,https://eportugal.gov.pt/locais-de-atendimento-de-servicos-publicos/loja-de-cidadao-das-laranjeiras-lisboa,"Rua Abranches Ferrão, n.º 10",1600-001,Lisboa,39,São Domingos de Benfica,1106,Lisboa,11,Lisboa,PT171,AML,
CST003,Loja de Cidadão de Lisboa - Marvila,38.749388,-9.116809,1,0,0,0, 300 003 990 ,,https://eportugal.gov.pt/locais-de-atendimento-de-servicos-publicos/loja-de-cidadao-de-lisboa-marvila,Avenida Santo Condestável - Centro Comercial Pingo Doce Bela Vista - Loja 34,1950-392,Lisboa,21,Marvila,1106,Lisboa,11,Lisboa,PT172,AML,
CST004,Loja de Cidadão do Saldanha,38.731285,-9.144351,1,0,0,0, 300 003 990 ,,https://eportugal.gov.pt/locais-de-atendimento-de-servicos-publicos/loja-de-cidadao-do-saldanha,"Rua Eng.º Vieira da Silva - Mercado 31 de Janeiro, 1º Piso",1050-094,Lisboa,56,Arroios,1106,Lisboa,11,Lisboa,PT173,AML,
CST005,Loja de Cidadão de Agualva-Cacém,38.769196,-9.304947,1,0,0,0, 300 003 990 ,,https://eportugal.gov.pt/locais-de-atendimento-de-servicos-publicos/loja-de-cidadao-de-agualva-cacem,"Praceta Duque de Saldanha, n.º 17",2735-330,Agualva-Cacém,24,União das freguesias do Cacém e São Marcos,1111,Sintra,11,Lisboa,PT174,AML,170453|170455|170495|170679|170681|170683|170684
CST006,Loja de Cidadão de Mafra,38.939501,-9.328693,0,1,0,0, 300 003 990 ,,https://eportugal.gov.pt/locais-de-atendimento-de-servicos-publicos/loja-de-cidadao-de-mafra,"Avenida 25 de Abril, n.º 5",2640-456,Mafra,09,Mafra,1109,Mafra,11,Lisboa,PT175,AML,080197|080198|080199|080202|080211|080217
CST007,Loja de Cidadão de Odivelas,38.782376,-9.191751,0,1,0,0, 300 003 990 ,,https://eportugal.gov.pt/locais-de-atendimento-de-servicos-publicos/loja-de-cidadao-de-odivelas,"Strada Outlet, Loja 2048 - Estrada da Paiã, Casal do Troca",2675-626,Odivelas,03,Odivelas,1116,Odivelas,11,Lisboa,PT176,AML,110081|110105|110399|110400|110855|110856|111004
CST008,Loja de Cidadão do Seixal,38.620993,-9.120405,0,0,1,0, 300 003 990 ,,https://eportugal.gov.pt/locais-de-atendimento-de-servicos-publicos/loja-de-cidadao-do-seixal,"Edifício Alentejo – Rua Francisco Zambujal, n.º 1, piso 1, Quinta da Mariana",2845-111,Amora,02,Amora,1510,Seixal,15,Setúbal,PT177,AML,140105|140106|140107|140108|140611|140612
CST009,Loja de Cidadão do Pinhal Novo,38.631207,-8.911576,0,0,0,1, 300 003 990 ,,https://eportugal.gov.pt/locais-de-atendimento-de-servicos-publicos/loja-de-cidadao-do-pinhal-novo,Praça da Independência - Edifício do Mercado Municipal do Pinhal Novo,2955-999,Pinhal Novo,03,Pinhal Novo,1508,Palmela,15,Setúbal,PT178,AML,130229|130230|130383|130385|130557|130558
CST010,Loja de Cidadão de Setúbal,38.528068,-8.882493,0,0,0,1, 300 003 990 ,,https://eportugal.gov.pt/locais-de-atendimento-de-servicos-publicos/loja-de-cidadao-de-setubal,"Avenida Bento Gonçalves, n.º 30",2910-431,Setúbal,05,Setúbal (São Sebastião),1512,Setúbal,15,Setúbal,PT179,AML,160029|160031|160065|160066
