id,name,lat,lon,A1,A2,A3,A4,phone,email,url,address,postal_code,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,stops
C00001,Juízos da Amadora,38.739149,-9.225501,1,0,0,0,,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Ju%C3%ADzos%20da%20Amadora,Av. da Quinta Grande n.º 83,2610-158,Amadora,12,Alfragide,1115,Amadora,11,Lisboa,PT170,AML,030075|030076|030077|030078|030079|030080|030533|030753|030754|030755|030756|030757|030758
C00002,Palácio de Justiça de Cascais,38.701152,-9.427943,1,0,0,0,,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Pal%C3%A1cio%20de%20Justi%C3%A7a%20de%20Cascais,Palácio da Justiça - R. Dr. Fernando M. F. Baptista Viegas,2754-503,Cascais,08,União das freguesias de Cascais e Estoril,1105,Cascais,11,Lisboa,PT170,AML,050251|050253|050313|050315|050317
C00003,Campus de Justiça de Lisboa - Edifício A,38.772743,-9.096768,1,0,0,0,,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Campus%20de%20Justi%C3%A7a%20de%20Lisboa%20-%20Edif%C3%ADcio%20A,"Av. D. João II, nº1.08.01 Edifício A",1990-097,Lisboa,62,Parque das Nações,1106,Lisboa,11,Lisboa,PT170,AML,060203|060205|060209|060211
C00004,Campus de Justiça de Lisboa - Edifício F,38.772771,-9.095510,1,0,0,0,,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Campus%20de%20Justi%C3%A7a%20de%20Lisboa%20-%20Edif%C3%ADcio%20F,"Av. D. João II, nº1.08.01 Edifício F",1990-097,Lisboa,62,Parque das Nações,1106,Lisboa,11,Lisboa,PT170,AML,060201|060202|060205|060209|060211
C00005,Edifício de Monsanto,38.733974,-9.189608,1,0,0,0,,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Edif%C3%ADcio%20de%20Monsanto,Estrada do Forte de Monsanto,1500-277,Lisboa,08,Benfica,1106,Lisboa,11,Lisboa,PT170,AML,
C00006,Palácio de Justiça de Lisboa - Edifício pequeno,38.733102,-9.158119,1,0,0,0,,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Pal%C3%A1cio%20de%20Justi%C3%A7a%20de%20Lisboa%20-%20Edif%C3%ADcio%20pequeno,"Palácio da Justiça, Rua Marquês de Fronteira",1098-001,Lisboa,10,Campolide,1106,Lisboa,11,Lisboa,PT170,AML,
C00007,Palácio de Justiça de Oeiras,38.684032,-9.318636,1,0,0,0,,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Pal%C3%A1cio%20de%20Justi%C3%A7a%20de%20Oeiras,Palácio da Justiça - Av. D. João I,2784-508,Oeiras,14,"União das freguesias de Oeiras e São Julião da Barra, Paço de Arcos e Caxias",1110,Oeiras,11,Lisboa,PT170,AML,120799|120805|120807|120809|120811|120879
C00008,Tribunal Judicial de Oeiras - 2.ª Secção de Execução,38.684032,-9.318636,1,0,0,0, 216 405 500,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Tribunal%20Judicial%20de%20Oeiras%20-%202.%C2%AA%20Sec%C3%A7%C3%A3o%20de%20Execu%C3%A7%C3%A3o,Palácio da Justiça - Av. D. João I,2784-508,Oeiras,14,"União das freguesias de Oeiras e São Julião da Barra, Paço de Arcos e Caxias",1110,Oeiras,11,Lisboa,PT170,AML,120799|120805|120807|120809|120811|120879
C00009,Tribunal Judicial de Oeiras - DIAP / Ministério Público,38.684421,-9.318605,1,0,0,0, 216 405 500,,https://eportugal.gov.pt/locais-de-atendimento-de-servicos-publicos/-/pesquisa/search_stores?_searchresults_formDate=1697475826461&_searchresults_keywords=&_searchresults_keywords2=&_searchresults_portalCategoryTypesId=&_searchresults_LojasEspacos+47584868=on&_searchresults_Distritos+238422=on&_searchresults_Concelhos+50156282=on&_searchresults_checkboxNames=LojasEspacos+47584868%2CDistritos+238422%2CConcelhos+50156271%2CConcelhos+50156272%2CConcelhos+50156275%2CConcelhos+50156276%2CConcelhos+50156277%2CConcelhos+50156278%2CConcelhos+50156279%2CConcelhos+50156280%2CConcelhos+50156282%2CConcelhos+50156285%2CConcelhos+50156286%2CPaises+25291018&pageSequenceNumber=2,Palácio da Justiça - Av. D. João I,2784-508,Oeiras,14,"União das freguesias de Oeiras e São Julião da Barra, Paço de Arcos e Caxias",1110,Oeiras,11,Lisboa,PT170,AML,120799|120801|120805|120807|120809|120811|120879|121189|121207|121322|121323
C00010,Juízo do Comércio de Vila Franca de Xira,38.828343,-9.170708,0,1,0,0,,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Ju%C3%ADzo%20do%20Com%C3%A9rcio%20de%20Vila%20Franca%20de%20Xira,"Av. Dr. António Carvalho Figueiredo, 1",2670-406,Loures,07,Loures,1107,Loures,11,Lisboa,PT170,AML,070029|070361|070362|070475|070476|070477|070478|070479|070527|070529|070551|070569
