id,name,lat,lon,A1,A2,A3,A4,phone,email,url,address,postal_code,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,stops
EC0001,IEFP - Centro de Emprego e Formação Profissional da Amadora,38.753011,-9.219027,1,0,0,0, 215802360 ,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/IEFP%20-%20Centro%20de%20Emprego%20e%20Forma%C3%A7%C3%A3o%20Profissional%20da%20Amadora,"R. Latino Coelho, 10",2704-503,Venda Nova,15,Falagueira-Venda Nova,1115,Amadora,11,Lisboa,PT170,AML,030283|030284|030305|030307|030405|030406|030860|030882
EC0002,"IEFP - GIP APROXIMAR, Cooperativa de Solidariedade Social, CRL",38.734213,-9.210181,1,0,0,0, 211 336 681 | 911 939 224,,"https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/IEFP%20-%20GIP%20APROXIMAR,%20Cooperativa%20de%20Solidariedade%20Social,%20CRL","Rua do Paraíso, Loja n.º 2",2610-136,Amadora,12,Alfragide,1115,Amadora,11,Lisboa,PT170,AML,030013|030014|030015|030016|030018|030561
EC0003,IEFP - GIP Associação Cultural Moinho da Juventude,38.745088,-9.212862,1,0,0,0,214906510,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/IEFP%20-%20GIP%20Associa%C3%A7%C3%A3o%20Cultural%20Moinho%20da%20Juventude,"Rua da Ilha Brava, n.º 11 - B.º do Alto da Cova da Moura",2610-222,Amadora,13,Águas Livres,1115,Amadora,11,Lisboa,PT170,AML,030037|030038|030039|030040|030051|030052|030749|030781
EC0004,IEFP - GIP Imigrante Associação de Jardins-Escolas João de Deus,38.753720,-9.218922,1,0,0,0, 916603461 ,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/IEFP%20-%20GIP%20Imigrante%20Associa%C3%A7%C3%A3o%20de%20Jardins-Escolas%20Jo%C3%A3o%20de%20Deus,"Estrada da Falagueira, S/N",2700-354,Falagueira,15,Falagueira-Venda Nova,1115,Amadora,11,Lisboa,PT170,AML,030283|030284|030303|030305|030307|030405|030406|030860|030882
EC0005,IEFP - GIP Junta de Freguesia de Encosta do Sol,38.766140,-9.213719,1,0,0,0, 214 768 400 | 963 696 901 ,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/IEFP%20-%20GIP%20Junta%20de%20Freguesia%20de%20Encosta%20do%20Sol,"Rua Luís Vaz de Camões, s/n",2650-197,Amadora,14,Encosta do Sol,1115,Amadora,11,Lisboa,PT170,AML,030355|030356|030373|030377|030387|030389|030390|030423|030425|030427|030695|030701|030737|030852
EC0006,IEFP - GIP Junta de Freguesia de Águas Livres,38.750690,-9.229879,1,0,0,0, 214 952 181 | 914 490 282,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/IEFP%20-%20GIP%20Junta%20de%20Freguesia%20de%20%C3%81guas%20Livres,"Avenida D. José I, n.º 57",2720-176,Amadora,17,Venteira,1115,Amadora,11,Lisboa,PT170,AML,030445|030446|030453|030454|030457|030458|030459|030461|030462|030483|030485|030491|030492|030493|030495|030497|030535|030543|030865|030866|030867|030868
EC0007,IEFP - Serviço de Emprego da Amadora,38.759895,-9.240729,1,0,0,0, 215802320,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/IEFP%20-%20Servi%C3%A7o%20de%20Emprego%20da%20Amadora,"Av. D. Nuno Álvares Pereira, 1-A",2700-253,Amadora,17,Venteira,1115,Amadora,11,Lisboa,PT170,AML,030319|030322|030323|030343|030344|030345|030346|030475|030620|030621|030622|030734|030880
EC0008,IEFP - Serviço de Formação Profissional da Amadora,38.753011,-9.219027,1,0,0,0, 215802360 ,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/IEFP%20-%20Servi%C3%A7o%20de%20Forma%C3%A7%C3%A3o%20Profissional%20da%20Amadora,"R. Latino Coelho, 10 - Venda Nova",2704-503,Amadora,15,Falagueira-Venda Nova,1115,Amadora,11,Lisboa,PT170,AML,030283|030284|030305|030307|030405|030406|030860|030882
EC0009,IEFP - Centro de Emprego de Cascais,38.699846,-9.419194,1,0,0,0,215802520,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/IEFP%20-%20Centro%20de%20Emprego%20de%20Cascais,"Av. Valbom, 17, 1.º andar, Cascais",2750-508,Cascais,8,União das freguesias de Cascais e Estoril,1105,Cascais,11,Lisboa,PT170,AML,050205|050247|050319|050419|050424
EC0010,IEFP - Centro de Formação e Reabilitação Profissional de Alcoitão,38.731925,-9.400464,1,0,0,0,215802870 ,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/IEFP%20-%20Centro%20de%20Forma%C3%A7%C3%A3o%20e%20Reabilita%C3%A7%C3%A3o%20Profissional%20de%20Alcoit%C3%A3o,"Rua do Conde Barão, 317",2645-109,Alcoitão - Alcabideche,1,Alcabideche,1105,Cascais,11,Lisboa,PT170,AML,050189|050190|050191|050192|050193|050194
