id,short_name,lat,lon,A1,A2,A3,A4,phone,email,url,google_place_id,google_business_id,address,postal_code,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,hours_monday,hours_tuesday,hours_wednesday,hours_thursday,hours_friday,hours_saturday,hours_sunday,hours_special,brand_name,name,stops
8400000000000001,Queluz,38.756310, -9.253493,1,0,0,0,210410400,,https://www.carrismetropolitana.pt/encm,ChIJf55o2a3NHg0RNBNFOsMt3gw,10845229782513764958,Avenida José Elias Garcia 71,2745-155,Queluz,26,União das freguesias de Queluz e Belas,1111,Sintra,11,Lisboa,PT170,AML,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,,Espaço navegante®,Espaço navegante® Queluz,170927|170928|172063|172476|172495|172499
8400000000000002,Amadora (Estação),38.758672,-9.235156,1,0,0,0,210410400,,https://www.carrismetropolitana.pt/encm,ChIJEc3j1VPNHg0Rk3GL2GCM9MQ,2887582905045411740,Avenida Santos Mattos 8A,2700-336,Amadora,17,Venteira,1115,Amadora,11,Lisboa,PT170,AML,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,,Espaço navegante®,Espaço navegante® Amadora (Estação),030317|030319|030469|030475|030477|030685|030821|030845|030869|030880|030687|030843|030842|030119
8400000000000003,Cacilhas,38.687925,-9.147518,0,0,1,0,210410400,,https://www.carrismetropolitana.pt/encm,ChIJiU442pA1GQ0Ra-zWOkQd4uM,3866823322127043636,"Largo Alfredo Dinis, Cacilhas",2800-252,Almada,12,"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",1503,Almada,15,Setúbal,PT170,AML,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,,Espaço navegante®,Espaço navegante® Cacilhas,020037|020113|020219|020363|020403|020429|020449|020489|020955|020959|020973|021007|021009
8400000000000004,Setúbal,38.530424,-8.885314,0,0,0,1,210410400,,https://www.carrismetropolitana.pt/encm,ChIJ3wbD7bBDGQ0R6U4uPeHaG3I,11529856661394022641,Praça do Brasil,2900-319,Setúbal,10,"União das freguesias de Setúbal (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça)",1512,Setúbal,15,Setúbal,PT170,AML,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,,Espaço navegante®,Espaço navegante® Setúbal,160067|160068|160095|162001|162002|162003|162004|162005|162006|162007|162008|162011
8400000000000005,Montijo,38.705786,-8.976142,0,0,0,1,210410400,,https://www.carrismetropolitana.pt/encm,ChIJ4YazSNI5GQ0R7Y2Fhiu0iek,2934796872968251129,Praça Gomes Freire de Andrade 18,2870-237,Montijo,10,União das freguesias de Montijo e Afonsoeiro,1507,Montijo,15,Setúbal,PT170,AML,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,,Espaço navegante®,Espaço navegante® Montijo,100013|100015|100016|100027|100081|100143
8400000000000006,Loures,38.835582,-9.156227,0,1,0,0,210410400,,https://www.carrismetropolitana.pt/encm,ChIJcYh0bA0tGQ0R8MrZS2YQXLE,1677149798087516198,Av. Descobertas 90,2670-457,Loures,7,Loures,1107,Loures,11,Lisboa,PT170,AML,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,,Espaço navegante®,Espaço navegante® Loures,070383|070385|070435|070437
8400000000000007,Amadora (Elias Garcia),38.758190,-9.227082,1,0,0,0,210410400,,https://www.carrismetropolitana.pt/encm,ChIJEc3j1VPNHg0Rk3GL2GCM9MQ,18120208025917026049,Rua Elias Garcia 182B,2700-315,Amadora,,,1115,Amadora,11,Lisboa,PT170,AML,08:00-12:00|14:00-18:00,08:00-12:00|14:00-18:00,08:00-12:00|14:00-18:00,08:00-12:00|14:00-18:00,08:00-12:00|14:00-18:00,,,,Espaço navegante®,Espaço navegante® Amadora (Elias Garcia),030091|030105|030603|030604|030605|030606|030727|030876
8400000000000008,Odivelas,38.786955,-9.180884,0,1,0,0,210410400,,https://www.carrismetropolitana.pt/encm,ChIJ3aFnf0MzGQ0RDZjWTfZH3bk,7189079873484156497,Avenida Dom Dinis 68A,2675-328,Odivelas,3,Odivelas,1116,Odivelas,11,Lisboa,PT170,AML,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,,,,Espaço navegante®,Espaço navegante® Odivelas,110087|110088|110089|110102|111001
8400000000000009,Oeiras,38.686118,-9.322989,1,0,0,0,210410400,,https://www.carrismetropolitana.pt/encm,ChIJ6zaFF33JHg0RrfFaOVqEWUk,10730678685284014501,Rua Ernesto Veiga de Oliveira 14A,2780-052,Oeiras,14,"União das freguesias de Oeiras e São Julião da Barra, Paço de Arcos e Caxias",1110,Oeiras,11,Lisboa,PT170,AML,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,,Espaço navegante®,Espaço navegante® Oeiras,120805|121322|121323
8400000000000010,Corroios,38.645779,-9.152485,0,0,1,0,210410400,,https://www.carrismetropolitana.pt/encm,ChIJoz3GM1U1GQ0RRuYJ22C5PeA,2347415765639079671,Avenida 25 de Abril 9A R/C Esq,2855-099,Corroios,5,Corroios,1510,Seixal,15,Setúbal,PT170,AML,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,08:00-19:00,,,,Espaço navegante®,Espaço navegante® Corroios,140703|140704|140789
