id,name,lat,lon,A1,A2,A3,A4,phone,email,url,address,postal_code,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,stops
HC0001,UCC Integrar na Saúde,38.733471,-9.204799,1,0,0,0,217623020|217628080,ucc.benfica@arslvt.min-saude.pt,,"Rua Rainha Dona Brites, s/n - Bairro Boavista",1500-534,Lisboa,110608,Benfica,1106,Lisboa,11,Lisboa,PT170,AML,
HC0002,UCC Sete Rios,38.748030,-9.179760,1,0,0,0,210536899,ucc.seterios@arslvt.min-saude.pt,,"Rua Cidade de Rabat, 39",1500-672,Lisboa,110639,São Domingos de Benfica,1106,Lisboa,11,Lisboa,PT170,AML,
HC0003,USP Lisboa Norte,38.739567,-9.168651,1,0,0,0,217211862,usp.lxnorte@arslvt.min-saude.pt,,Largo Professor Arnaldo Sampaio,1549-010,Lisboa,110639,São Domingos de Benfica,1106,Lisboa,11,Lisboa,PT170,AML,060453|060454|060459|060013|060456|060457|060458
HC0004,UCC Lumiar Mais,38.776643,-9.145713,1,0,0,0,210519799,ucclumiar.mais@arslvt.min-saude.pt,,"Av. Nuno Krus Abecassis, 19, Piso 0, Alta de Lisboa",1750-456,Lisboa,110664,Santa Clara,1106,Lisboa,11,Lisboa,PT170,AML,060235|060236|060237|060238
HC0005,USF D. João V - Polo Encarnação,39.027818,-9.369372,0,1,0,0,261818120|261855473,usf.djoaov@arslvt.min-saude.pt,,Rua do Novo Mercado,2640-232,Encarnação,110904,Encarnação,1109,Mafra,11,Lisboa,PT170,AML,080487|080525|080633
HC0006,URAP Oeste Sul - Polo Mafra Norte,38.937040,-9.336359,0,1,0,0,261818100,urap.oestesul@arslvt.min-saude.pt|balcoes.urapoestesul@arslvt.min-saude.pt,,Largo Coronel Brito Gorjão,2640-465,Mafra,110909,Mafra,1109,Mafra,11,Lisboa,PT170,AML,080204|080205|080206|080959|080961|080973|080975|080979
HC0007,UCC Loures,38.828328,-9.167982,0,1,0,0,219847080,ucc.loures@arslvt.min-saude.pt,,"Rua da Brasília, nº13",2670-423,Loures,110707,Loures,1107,Loures,11,Lisboa,PT170,AML,070029|070032|070037|070250|070361|070362|070453|070477|070478|070479|070527
HC0008,UCC Amadora Mais,38.745867,-9.220493,1,0,0,0,214906217,ucc.amadoram@arslvt.min-saude.pt,,Praça Conde da Lousã - Damaia,2720-120,Amadora,111513,Águas Livres,1115,Amadora,11,Lisboa,PT170,AML,030505|030507|030509|030511|030531|030567|030677|030678|030679|030681|030682|030741|030743|030745
HC0009,URAP Cascais - Polo Cascais,38.702700,-9.421110,1,0,0,0,214824610,urap.cascais@arslvt.min-saude.pt,,Rua Padre Moisés da Silva,2754-528,Cascais,110508,União das freguesias de Cascais e Estoril,1105,Cascais,11,Lisboa,PT170,AML,050205|050207|050247|050249|050319|050419|050424
HC0010,URAP Cascais - Carcavelos (Sede),38.696536,-9.334634,1,0,0,0,214824610,urap.cascais@arslvt.min-saude.pt,,"Rua Jacinto Isidoro de Sousa, Quinta do Barão",2775-713,Carcavelos,110507,União das freguesias de Carcavelos e Parede,1105,Cascais,11,Lisboa,PT170,AML,
HC0011,URAP Almada-Seixal - Amora (Sede),38.627604,-9.113684,0,0,1,0,212274200,urap.almadaseixal@arslvt.min-saude.pt,,"Rua Dona Branca Saraiva de Carvalho, 9C",2845-452,Amora,151002,Amora,1510,Seixal,15,Setúbal,PT170,AML,140145|140147|140148|140311|140345
HC0012,UCC Saúde à Beira Tejo,38.648361,-8.992523,0,0,0,1,212806460,ucc.sbeiratejo@arslvt.min-saude.pt|ucc.sbeiratejo.ecci@arslvt.min-saude.pt,,"Largo Dr. Joaquim Marques Elias, 5",2860-418,Moita,150603,Moita,1506,Moita,15,Setúbal,PT170,AML,090055|090056|090097|090207|090307|090308
