id,name,lat,lon,A1,A2,A3,A4,is_active,validation_date,address,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,url,email,phone,stops
MS0001,Museu de Arte Popular,38.693804,-9.208446,1,0,0,0,1,2023-08-25,Avenida de Brasília,,58,Belém,06,Lisboa,11,Lisboa,PT170,AML,https://museuartepopular.wordpress.com/,geral@map.dgpc.pt,=+ 351 213 011 282,
MS0002,Museu Coleção Berardo,38.695748,-9.207732,1,0,0,0,1,2023-08-25,"Praça do Império
Centro Cultural de Belém

",,58,Belém,06,Lisboa,11,Lisboa,PT170,AML,www.museuberardo.pt,museuberardo@museuberardo.pt,=+351 213 612 878,
MS0003,"MAAT - Museu de Arte, Arquitetura e Tecnologia",38.696044,-9.193715,1,0,0,0,1,2023-08-25,Avenida de Brasília,,58,Belém,06,Lisboa,11,Lisboa,PT170,AML,https://www.maat.pt,info.maat@edp.pt,=+351 210 028 130,
MS0004,Museu Nacional dos Coches,38.696801,-9.198387,1,0,0,0,1,2023-08-25,Avenida da Índia,,58,Belém,06,Lisboa,11,Lisboa,PT170,AML,http://museudoscoches.gov.pt/pt/,geral@mncoches.dgpc.pt,=+ 351 210 732 319,060101|060107|060383|060384
MS0005,Museu de Marinha,38.697227,-9.209236,1,0,0,0,1,2023-08-25,"Praça do Império 
Mosteiro dos Jerónimos",,58,Belém,06,Lisboa,11,Lisboa,PT170,AML,http://ccm.marinha.pt/pt/museu,geral.museu@marinha.pt,=+351 210 977 988,
MS0006,Museu da Presidência da República,38.697355,-9.201272,1,0,0,0,1,2023-08-25,"Praça Afonso de Albuquerque  

",,58,Belém,06,Lisboa,11,Lisboa,PT170,AML,www.museu.presidencia.pt/,museu@presidencia.pt,=+351 213 614 660,060099|060101|060103|060107|060383|060384
MS0007,Museu Nacional de Arqueologia,38.697781,-9.205771,1,0,0,0,1,2023-08-25,"Praça do Império
Mosteiro dos Jerónimos",,58,Belém,06,Lisboa,11,Lisboa,PT170,AML,www.museuarqueologia.pt,geral@mnarqueologia.dgpc.pt,=+351 213 620 000,060097|060098|060099|060103
MS0008,Museu do Centro Cultural Casapiano,38.699541,-9.205929,1,0,0,0,1,2023-08-25,Rua dos Jerónimos 5 R/C,,58,Belém,06,Lisboa,11,Lisboa,PT170,AML,http://www.casapia.pt,centro.cultural@casapia.pt,21 361 08 30,060097|060098|060099|060103
MS0009,Museu do Centro Cientifico e Cultural de Macau,38.700826,-9.182392,1,0,0,0,1,2023-08-25,"Rua da Junqueira, 30 

",,02,Alcântara,06,Lisboa,11,Lisboa,PT170,AML,www.cccm.pt/,museu@cccm.pt,=+351 213 617 570,
MS0010,Museu da Carris,38.701612,-9.179903,1,0,0,0,1,2023-08-25,"Rua Primeiro de Maio (a Santo Amaro), 101
",,02,Alcântara,06,Lisboa,11,Lisboa,PT170,AML,http://museu.carris.pt/,museu@carris.pt,=+351 213 613 087,
