id,name,lat,lon,A1,A2,A3,A4,phone,email,url,address,postal_code,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,stops
NO0001,Cartório Notarial de Oeiras - Ana Carla Delgado de Aguilar,38.712259,-9.22565,,,,,,ana.aguilar@notarios.pt,,"Av. Marechal Norton de Matos, nº 63 – B, Miraflores",,,,,,Oeiras,,,,,120183|120184|120345|120347|120348|120349|120351|120352|120399|121073
NO0002,Cartório Notarial de Lisboa - Florbela Maria Inácio Joaquim,38.736240,-9.14628,,,,,,florbela.joaquim@notarios.pt,,"Av. João Crisóstomo, N26 A",,,,,,Lisboa,,,,,
NO0003,Cartório Notarial de Setúbal - Cathy Camilo Regodeiro Albano Teixeira,38.540157,-9.026365,,,,,,cathy.teixeira@notarios.pt,,"Rua João Vaz, número 7-E - Brejos de Azeitão",,,,,,Setúbal,,,,,160781|160793|160805|160917|160918|160996
NO0004,Cartório Notarial de Sesimbra - Maria dos Anjos da Costa Tavares Barreiros,38.564390,-9.039589,,,,,,anjos.barreiros@notarios.pt,,"Praceta Abel Salazar, lote 41, Loja B - Urb. Cova dos Vidros",,,,,,Sesimbra,,,,,150013|150499|150500|150519|150520|150529|150531
NO0005,Cartório Notarial de Palmela - Sónia Margarida dos Santos Condeça Borges,38.572465,-8.902439,,,,,,soniacondeca@scnotaria.pt,,"Rua Quinta da Cerca, 1, R/C esq",,,,,,Palmela,,,,,130001|130002|130003|130004|130005|130006|130049|130051|130053|130063
NO0006,Cartório Notarial de Palmela - Paloma da Paz Costa Lavrador Rito,38.590274,-9.009881,,,,,,paloma.rito@notarios.pt,,"Rua José Saramago, lote 26, r/c Esq. Pinhal Novo",,,,,,Palmela,,,,,
NO0007,Cartório Notarial de Seixal - Maria de Fátima da Costa Logrado,38.619440,-9.113619,,,,,,fatima.logrado@notarios.pt,,"Rua D. Manuel I, nº 16-A, Paivas Amora",,,,,,Seixal,,,,,140109|140110|140111|140112|140221|140222|140223|140295
NO0008,Cartório Notarial de Seixal - Carolina Isabel Mourato Dinis Cardoso Felisberto,38.624030,-9.12489,,,,,,carolina.felisberto@notarios.pt,,"Rua Infante D. Augusto, 34A",,,,,,Seixal,,,,,140103|140105|140106|140131|140163|140164|140165|140166|140211|140212|140213|140215|140299|140307|140347|140348|140583
NO0009,Cartório Notarial de Almada - Isabel Maria Conceição Gonçalves,38.629680,-9.19926,,,,,,isabel.goncalves@notarios.pt,,"Azinhaga da Carreta, 9B",,,,,,Almada,,,,,020161|020163|020164|020185|020186|020187|020331|020332|020553|020581|021041
NO0010,Cartório Notarial de Seixal - Sara Alexandra de Resende Alves Monteiro,38.635110,-9.093549,,,,,,sara.monteiro@notarios.pt,,"Av. dos Metalúrgicos, nº 5 A",,,,,,Seixal,,,,,140251|140252|140253|140254|140255|140256|140563|140564
NO0011,Cartório Notarial do Seixal - Inês da Conceição Baço Gomes,38.640903,-9.153567,,,,,,ines.gomes@notarios.pt,,"Praceta Cidade de Lagos, 3 Loja B",,,,,,Seixal,,,,,140349|140350|140689|140690|140704|140707|140771|140772|140789
NO0012,Cartório Notarial da Moita - Maria do Carmo Augusto Laginhas,38.650800,-8.99254,,,,,,carmo.laginhas@notarios.pt,,"Rua Dr. Miguel Bombarda, n.º 33A",,,,,,Moita,,,,,090055|090056|090057|090058|090115
NO0013,Cartório Notarial da Moita - Mário Nunes,38.651801,-8.989746,,,,,,mario.nunes@notarios.pt,,"Rua Dr. Egas Moniz, nº 31, r/c Dtº e Esq.",,,,,,Moita,,,,,090115|090117
NO0014,Cartório Notarial do Barreiro - Carlos Barradas,38.652684,-9.058565,,,,,,carlos.barradas@notarios.pt,,"Av. Movimento das Forças Armadas, nº 79 C",,,,,,Barreiro,,,,,
NO0015,Cartório Notarial de Almada - José Bernardo Coelho Gaspar de Almeida,38.653792,-9.154876,,,,,,jba.cartorioalmada@notarios.pt,,"Praça Lopes Graça,  20 A Laranjeiro",,,,,,Almada,,,,,020507|020508|020509|020510|020681|020682|020691|020693|020859|020865
