verification_status,status,id,name,lat,lon,area,locality,municipality_id,municipality_name,district_id,district_name,region_id,region_name,display_mode,stops
verificado,ok,001,amL,38.717203,-9.120373,,Santa Apolónia,1106,Lisboa,11,Lisboa,PT170,AML,arrivals,
verificado,ok,102,Rua Salineiro Fte 81,38.749069,-8.965875,4,Alcochete,1502,Alcochete,15,Setúbal,PT170,AML,arrivals,010082
verificado,ok,103,Avenida Euro 2004 - Zona Comercial,38.751366,-8.942771,4,Alcochete,1502,Alcochete,15,Setúbal,PT170,AML,arrivals,010136
verificado,sticker_missing,104,Avenida Euro 2004 - Zona Comercial,38.751127,-8.942987,4,Alcochete,1502,Alcochete,15,Setúbal,PT170,AML,arrivals,010135
verificado,ok,105,EN119 114,38.731672,-8.972351,4,São Francisco,1502,Alcochete,15,Setúbal,PT170,AML,arrivals,010066
verificado,ok,108,FCT (Rotunda),38.660486,-9.202622,3,Monte da Caparica,1503,Almada,15,Setúbal,PT170,AML,arrivals,020317
verificado,ok,109,Rua Sérgio Malpique - Zona Comercial,38.659225,-9.173307,3,Almada,1503,Almada,15,Setúbal,PT170,AML,arrivals,020088
verificado,ok,111,Av. 23 de Julho (Praça),38.656355,-9.154274,3,Laranjeiro,1503,Almada,15,Setúbal,PT170,AML,arrivals,020681
verificado,sticker_missing,112,Avenida Dr. Aresta Branco 13,38.643560,-9.232624,3,Costa da Caparica,1503,Almada,15,Setúbal,PT170,AML,arrivals,020639
verificado,ok,113,Rua Pedro Costa 1262,38.605327,-9.186377,3,Charneca da Caparica,1503,Almada,15,Setúbal,PT170,AML,arrivals,020422
verificado,structure_graffiti,114,Escola Básica Carlos Gargaté,38.604988,-9.186137,3,Charneca da Caparica,1503,Almada,15,Setúbal,PT170,AML,arrivals,020421
verificado,sticker_missing,116,Av. Dom Nuno Álvares Pereira,38.679217,-9.158558,3,Almada,1503,Almada,15,Setúbal,PT170,AML,arrivals,020047
verificado,ok,117,Portagem (Cristo Rei),38.673779,-9.173990,3,Almada,1503,Almada,15,Setúbal,PT170,AML,arrivals,020001
verificado,ok,119,Avenida Torrão Silva (Estação),38.666404,-9.180532,3,Pragal,1503,Almada,15,Setúbal,PT170,AML,arrivals,020275
verificado,sticker_missing,121,Avenida D. Nuno Álvares Pereira - Prç S. João Baptista,38.678985,-9.158582,3,Almada,1503,Almada,15,Setúbal,PT170,AML,arrivals,020399
verificado,ok,123,Cacilhas (Terminal),38.687893,-9.147125,3,Cacilhas,1503,Almada,15,Setúbal,PT170,AML,departures,020037|020011|020403|020429|020955|020959|020973|021007
verificado,ok,124,Trafaria (Terminal),38.673904,-9.231743,3,Trafaria,1503,Almada,15,Setúbal,PT170,AML,arrivals,020385|024855
verificado,ok,125,Avenida Torrão Silva (Estação),38.666571,-9.180657,3,Pragal,1503,Almada,15,Setúbal,PT170,AML,arrivals,020276|027998
verificado,ok,126,Avenida 23 de Julho - Supermercado,38.668847,-9.159342,3,Almada,1503,Almada,15,Setúbal,PT170,AML,arrivals,020069
verificado,ok,127,Cova da Piedade - Posto Combustível,38.667602,-9.159434,3,Almada,1503,Almada,15,Setúbal,PT170,AML,arrivals,020077
