id,name,lat,lon,area,locality,municipality_id,municipality_name,district_id,district_name,region_id,region_name,stops,status,verification_status
001,amL,38.717203,-9.120373,1,Santa Apolónia,1106,Lisboa,11,Lisboa,PT170,AML,,Ok - PIP TML,Instalado e Verificado
101,Praça José Coelho 2,38.720600,-9.004522,4,Samouco,1502,Alcochete,15,Setúbal,PT170,AML,010180,1.ª Fase - Exteriores,Relocalizar (Já Instalado)
102,R. do Salineiro Ft. 81,38.749069,-8.965875,4,Alcochete,1502,Alcochete,15,Setúbal,PT170,AML,010082,1.ª Fase - Exteriores,Instalado e Verificado
103,Av. Euro 2004 (Ft. Centro Comercial),38.751366,-8.942771,4,Alcochete,1502,Alcochete,15,Setúbal,PT170,AML,010136,1.ª Fase - Exteriores,Instalado e Verificado
104,Av. Euro 2004 (Centro Comercial),38.751127,-8.942987,4,Alcochete,1502,Alcochete,15,Setúbal,PT170,AML,010135,1.ª Fase - Exteriores,Instalado e Verificado
105,Av. S. Francisco de Assis Ft. 114,38.731672,-8.972351,4,São Francisco,1502,Alcochete,15,Setúbal,PT170,AML,010066,1.ª Fase - Exteriores,Instalado e Verificado
108,Universidade Nova de Lisboa (FCT),38.660486,-9.202622,3,Monte da Caparica,1503,Almada,15,Setúbal,PT170,AML,020317,1.ª Fase - Exteriores,Instalado e Verificado
109,Centro Comercial de Almada P1,38.659225,-9.173307,3,Almada,1503,Almada,15,Setúbal,PT170,AML,020088,1.ª Fase - Exteriores,Instalado e Verificado
110,Av. 23 de Julho (Farmácia),38.65626,-9.154412,3,Laranjeiro,1503,Almada,15,Setúbal,PT170,AML,020682,1.ª Fase - Exteriores,Instalado por Verificar
111,Av. 23 de Julho (Ft. Farmácia),38.656355,-9.154274,3,Laranjeiro,1503,Almada,15,Setúbal,PT170,AML,020681,1.ª Fase - Exteriores,Instalado e Verificado
112,Av. Dr. Aresta Branco (X) R. Ercília Costa,38.643560,-9.232624,3,Costa da Caparica,1503,Almada,15,Setúbal,PT170,AML,020639,1.ª Fase - Exteriores,Instalado e Verificado
113,R. de Pedro Costa (Ft. Escola),38.605327,-9.186377,3,Charneca da Caparica,1503,Almada,15,Setúbal,PT170,AML,020422,1.ª Fase - Exteriores,Instalado e Verificado
114,Escola Básica Carlos Gargaté,38.604988,-9.186137,3,Charneca da Caparica,1503,Almada,15,Setúbal,PT170,AML,020421,1.ª Fase - Exteriores,Instalado e Verificado
116,Av. Dom Nuno Álvares Pereira,38.679217,-9.158558,3,Almada,1503,Almada,15,Setúbal,PT170,AML,020047,1.ª Fase - Exteriores,Instalado e Verificado
117,Portagem (Cristo Rei),38.673779,-9.173990,3,Almada,1503,Almada,15,Setúbal,PT170,AML,020001,1.ª Fase - Exteriores,Instalado e Verificado
119,Avenida Torrão Silva (Estação),38.666404,-9.180532,3,Pragal,1503,Almada,15,Setúbal,PT170,AML,020275|027999,1.ª Fase - Exteriores,Instalado e Verificado
118,Bº F Fomento (R 3 Vales N65),38.667839,-9.188127,3,Bairro Fundo Fomento,1503,Almada,15,Setúbal,PT170,AML,020256,1.ª Fase - Exteriores,Instalado e Verificado
120,Bº F Fomento (R 3 Vales N65),38.667597,-9.188468,3,Bairro Fundo Fomento,1503,Almada,15,Setúbal,PT170,AML,020255,1.ª Fase - Exteriores,Instalado e Verificado
121,Avenida D. Nuno Álvares Pereira - Prç S. João Baptista,38.678985,-9.158582,3,Almada,1503,Almada,15,Setúbal,PT170,AML,020399,1.ª Fase - Exteriores,Instalado e Verificado
122,Av Torrado Silva (HOSPITAL G ORTA),38.671588,-9.175710,3,Almada,1503,Almada,15,Setúbal,PT170,AML,020277,1.ª Fase - Exteriores,Relocalizar (Já Instalado)
123,Cacilhas (Terminal),38.687893,-9.147125,3,Cacilhas,1503,Almada,15,Setúbal,PT170,AML,020113|020037|020449|021007|020429|020403|020959|020955|020973|020489,1.ª Fase - Exteriores,Instalado e Verificado
124,Trafaria (Terminal),38.673904,-9.231743,3,Trafaria,1503,Almada,15,Setúbal,PT170,AML,020385|024855,1.ª Fase - Exteriores,Instalado e Verificado
125,Avenida Torrão Silva (Estação),38.666571,-9.180657,3,Pragal,1503,Almada,15,Setúbal,PT170,AML,020276|027998,1.ª Fase - Exteriores,Instalado e Verificado
126,Avenida 23 de Julho - Supermercado,38.668847,-9.159342,3,Almada,1503,Almada,15,Setúbal,PT170,AML,020069,1.ª Fase - Exteriores,Instalado e Verificado
127,Cova da Piedade - Posto Combustível,38.667602,-9.159434,3,Almada,1503,Almada,15,Setúbal,PT170,AML,020077,1.ª Fase - Exteriores,Instalado e Verificado
128,Rua Vale de Figueira - Posto Combustível,38.635443,-9.176690,3,Sobreda,1503,Almada,15,Setúbal,PT170,AML,020193,1.ª Fase - Exteriores,Instalado e Verificado
129,Rua Vale de Figueira - Ft Hipódromo,38.636097,-9.176455,3,Sobreda,1503,Almada,15,Setúbal,PT170,AML,020147,1.ª Fase - Exteriores,Instalado e Verificado
130,R António Andrade 1125,38.617628,-9.192789,3,Charneca da Caparica,1503,Almada,15,Setúbal,PT170,AML,020337,1.ª Fase - Exteriores,Instalado e Verificado
131,Centro Sul,38.668033,-9.164672,3,Almada,1503,Almada,15,Setúbal,PT170,AML,020071|021019,1.ª Fase - Exteriores,Instalado e Verificado
132,R António Andrade Ft 1125,38.617394,-9.192744,3,Charneca da Caparica,1503,Almada,15,Setúbal,PT170,AML,020338,1.ª Fase - Exteriores,Instalado e Verificado
