id,name,lat,lon,A1,A2,A3,A4,is_active,validation_date,address,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,url,email,phone,stops
PS0001,38ª Esquadra,38.752021,-9.124780,1,0,0,0,1,2023-08-25,"Rua Ricardo Ornelas Lote 378, R/C-A",,21,Marvila,06,Lisboa,11,Lisboa,PT170,AML,,,-,
PS0002,Comando - 1ª Divisão Policial,38.717907,-9.135952,1,0,0,0,1,2023-08-25,"Rua da Palma, 169",,65,Santa Maria Maior,06,Lisboa,11,Lisboa,PT170,AML,,,213513600,
PS0003,Esquadra de Intervenção e Fiscalização Policial - DSA,38.772506,-9.128211,1,0,0,0,1,2023-08-25,"Aeroporto de Lisboa - Arruamento A, Edifício 11",,33,Olivais,06,Lisboa,11,Lisboa,PT170,AML,,,218444530,060269|060270|060307|060377
PS0004,2ª Esqª - Baixa Pombalina,38.709358,-9.136034,1,0,0,0,1,2023-08-25,"Rua da Prata nº 38, 1100-419 Lisboa c/ Rua de S. Julião, nº69",,65,Santa Maria Maior,06,Lisboa,11,Lisboa,PT170,AML,,,213427379,
PS0005,18ª Esquadra - Campo Grande,38.749639,-9.146712,1,0,0,0,1,2023-08-25,"Rua Afonso Lopes Vieira 2A, R/C",,54,Alvalade,06,Lisboa,11,Lisboa,PT170,AML,,,217900020,
PS0006,Esquadra de Segurança Aeroporto - Terminal 1,38.771153,-9.129485,1,0,0,0,1,2023-08-25,"Alameda das Comunidades Portuguesas Terminal 1, R/C",,33,Olivais,06,Lisboa,11,Lisboa,PT170,AML,,,218496132,060271|060273|060307|060377
PS0007,37ª Esquadra - Serafina,38.733990,-9.171585,1,0,0,0,1,2023-08-25,"Rua Miguel Ângelo de Blasco 25, R/C",,10,Campolide,06,Lisboa,11,Lisboa,PT170,AML,,,213858346,
PS0008,12ª Esquadra - Olaias,38.739325,-9.126008,1,0,0,0,1,2023-08-25,Rua Américo Durão 1 R/C Loja B,,55,Areeiro,06,Lisboa,11,Lisboa,PT170,AML,,,218414250,
PS0009,Esquadra de Segurança Aeroporto - Terminal 2,38.763746,-9.137899,1,0,0,0,1,2023-08-25,Alameda das Comunidades Portuguesas Terminal 2 R/C PSP,,33,Olivais,06,Lisboa,11,Lisboa,PT170,AML,,,218444530,
PS0010,Esquadra de Segurança ao Campus Justiça de Lisboa,38.774731,-9.096102,1,0,0,0,1,2023-08-25,"Avenida D. João II, Lote 1.08, Edifício F - Parque das Nações",,62,Parque das Nações,06,Lisboa,11,Lisboa,PT170,AML,,,218640090,060201|060202|060203|060211
PS0011,Secção de Achados,38.764311,-9.117744,1,0,0,0,1,2023-08-25,"Praça Cidade de Salazar Lote 180, R/C",,33,Olivais,06,Lisboa,11,Lisboa,PT170,AML,,,218535403,
PS0012,Posto de Polícia Hospital de São José,38.718133,-9.137619,1,0,0,0,1,2023-08-25,"Rua José António Serrano Bloco Central, R/C",,56,Arroios,06,Lisboa,11,Lisboa,PT170,AML,,,218841000,
PS0013,22ª Esquadra - Rato,38.720429,-9.155791,1,0,0,0,1,2023-08-25,"Largo do Rato, 1",,59,Campo de Ourique,06,Lisboa,11,Lisboa,PT170,AML,,,213858870,
PS0014,3ª Divisão Policial LX,38.745659,-9.199199,1,0,0,0,1,2023-08-25,"Rua André de Resende, R/C",,08,Benfica,06,Lisboa,11,Lisboa,PT170,AML,,,217108200,
PS0015,Esquadra de Segurança à Casa da Moeda,38.736955,-9.143527,1,0,0,0,1,2023-08-25,"Avenida João Crisóstomo Casa da Moeda, R/C",,57,Avenidas Novas,06,Lisboa,11,Lisboa,PT170,AML,,,217810832,
