id,name,lat,lon,A1,A2,A3,A4,phone,email,url,address,postal_code,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,stops
RO001,1.ª Conservatória do Registo Predial e Comercial da Amadora,38.761323,-9.243187,1,0,0,0,214929410,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/1.%C2%AA%20Conservat%C3%B3ria%20do%20Registo%20Predial%20e%20Comercial%20da%20Amadora,"Rua Elias Garcia, n.º 362 D, bloco B, 2.º C",2700-337,Amadora,17,Venteira,1115,Amadora,11,Lisboa,PT170,AML,030322|030323|030325|030326|030343|030344|030345|030346|030621|030622
RO002,2.ª Conservatória do Registo Predial da Amadora,38.679031,-9.158136,1,0,0,0,214929420,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/2.%C2%AA%20Conservat%C3%B3ria%20do%20Registo%20Predial%20da%20Amadora,"Rua Elias Garcia, n.º 362 D, bloco B, 2.º A/B",2700-337,Amadora,12,"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",1503,Amadora,15,Setúbal,PT170,AML,020019|020021|020045|020047|020049|020058|020059|020083|020085|020201|020203|020205|020399|020401|021068|021069
RO003,Conservatória do Registo Civil da Amadora,38.761348,-9.243229,1,0,0,0, 214929280,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Conservat%C3%B3ria%20do%20Registo%20Civil%20da%20Amadora,"Avenida Cardoso Lopes, n.º 29 - B",2700-160,Amadora,17,Venteira,1115,Amadora,11,Lisboa,PT170,AML,030322|030323|030325|030326|030343|030344|030345|030346|030621|030622
RO004,1.ª Conservatória do Registo Predial de Cascais,38.700948,-9.428218,1,0,0,0,214843470 ,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/1.%C2%AA%20Conservat%C3%B3ria%20do%20Registo%20Predial%20de%20Cascais,"Rua Jayme Thompson, Palácio da Justiça",2754-379,Cascais,08,União das freguesias de Cascais e Estoril,1105,Cascais,11,Lisboa,PT170,AML,050251|050253|050313|050315|050317
RO005,2.ª Conservatória do Registo Predial de Cascais,38.700803,-9.427937,1,0,0,0, 214843521,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/2.%C2%AA%20Conservat%C3%B3ria%20do%20Registo%20Predial%20de%20Cascais,Rua Jayme Thompson - Palácio da Justiça,2754-379,Cascais,08,União das freguesias de Cascais e Estoril,1105,Cascais,11,Lisboa,PT170,AML,050251|050253|050313|050315|050317
RO006,Conservatória do Registo Civil de Cascais,38.700857,-9.428031,1,0,0,0, 214812090 ,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Conservat%C3%B3ria%20do%20Registo%20Civil%20de%20Cascais,Rua Jayme Thompson - Palácio da Justiça,2754-379,Cascais,08,União das freguesias de Cascais e Estoril,1105,Cascais,11,Lisboa,PT170,AML,050251|050253|050313|050315|050317
RO007,Conservatória do Registo Comercial de Cascais,38.700883,-9.428111,1,0,0,0, 214818630,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Conservat%C3%B3ria%20do%20Registo%20Comercial%20de%20Cascais,Rua Jayme Thompson - Palácio da Justiça,2754-379,Cascais,08,União das freguesias de Cascais e Estoril,1105,Cascais,11,Lisboa,PT170,AML,050251|050253|050313|050315|050317
RO008,Conservatória do Registo Automóvel de Lisboa,38.774765,-9.095878,1,0,0,0, 211550440,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Conservat%C3%B3ria%20do%20Registo%20Autom%C3%B3vel%20de%20Lisboa,"Avenida D. João II, Edificio J, Campus de Justiça, lote 1.08.01, 5º piso",1990-097,Lisboa,62,Parque das Nações,1106,Lisboa,11,Lisboa,PT170,AML,060201|060202|060203|060211
RO009,"Conservatória do Registo Civil de Lisboa, de 1ª classe",38.728794,-9.148139,1,0,0,0,213566281,,"https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Conservat%C3%B3ria%20do%20Registo%20Civil%20de%20Lisboa,%20de%201%C2%AA%20classe",Av. Fontes Pereira de Melo nº 7 a 13,1050-115,Lisboa,57,Avenidas Novas,1106,Lisboa,11,Lisboa,PT170,AML,
RO010,Conservatória do Registo Comercial de Lisboa,38.728780,-9.148127,1,0,0,0, 213506820,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Conservat%C3%B3ria%20do%20Registo%20Comercial%20de%20Lisboa,"Avenida Fontes Pereira de Melo, n.º 7 a 9",1050-115,Lisboa,57,Avenidas Novas,1106,Lisboa,11,Lisboa,PT170,AML,
