id,name,lat,lon,A1,A2,A3,A4,is_active,validation_date,nature,grouping,pre_school,basic_1,basic_2,basic_3,high_school,professional,special,artistic,university,other,address,postal_code,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,url,email,phone,stops
10187,Academia Militar,38.754260,-9.234460,1,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,1115,Amadora,11,Lisboa,PT170,AML,,,,030315|030465|030467|030469|030477|030479|030481|030537|030538|030539|030541|030601|030685|030837|030841|030866|030867
10188,Escola Superior de Enfermagem de Lisboa,38.756454,-9.147720,1,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,060282|060283|060289|060291
10189,Escola Superior de Hotelaria e Turismo do Estoril,38.716944,-9.391947,1,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,1105,Cascais,11,Lisboa,PT170,AML,,,,050369|050415|050417
10190,Escola Superior de Saúde Atlântica,38.741406,-9.284575,1,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,1110,Oeiras,11,Lisboa,PT170,AML,,,,120583|121137|121138|121139|121140|121141|121142|121143|121144
10191,Escola Superior de Saúde da Cruz Vermelha Portuguesa,38.711433,-9.175043,1,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,060019|060387|060397|060409
10192,Escola Superior de Saúde do Alcoitão,38.733113,-9.399351,1,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,1105,Cascais,11,Lisboa,PT170,AML,,,,050189|050191|050192|050193|050194|050195|050196|050190
10193,Escola Superior de Saúde Egas Moniz,38.667367,-9.199239,0,0,1,0,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,1503,Almada,15,Setúbal,PT170,AML,,,,020303|020304|020309|020310|020367
10194,Escola Superior Náutica Infante D. Henrique,38.690528,-9.300083,1,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,1110,Oeiras,11,Lisboa,PT170,AML,,,,120881|120882|120883|120884
10195,Instituto Jean Piaget - Campus Universitário de Almada,38.666400,-9.176900,0,0,1,0,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,1503,Almada,15,Setúbal,PT170,AML,,,,020073|020275|020276|020293|020769|027997|027999|027998
10196,Instituto Politécnico de Lisboa - Escola Superior de Comunicação Social,38.746017,-9.194167,1,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,060055
10197,Instituto Politécnico de Lisboa - Escola Superior de Música,38.746583,-9.196250,1,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,060053
10198,Instituto Politécnico de Lisboa - Escola Superior de Teatro e Cinema,38.763383,-9.235000,1,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,1115,Amadora,11,Lisboa,PT170,AML,,,,030095|030097|030103|030119|030121|030123|030124|030125|030126|030169|030171|030173|030175|030247|030249|030331|030687|030842|030843|030863|030873|030874
10199,Instituto Politécnico de Lisboa - Escola Superior de Tecnologia da Saúde de Lisboa,38.776083,-9.097500,1,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,060199|060200|060201|060202|060203|060211|070581|071311
10200,Instituto Politécnico de Setúbal - Escola Superior de Ciências Empresariais,38.522680,-8.840711,0,0,0,1,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,1512,Setúbal,15,Setúbal,PT170,AML,,,,160043|160044|160045|160725|160713|160714|160701|160702|160726
10201,Instituto Politécnico de Setúbal - Escola Superior de Educação,38.520060,-8.837864,0,0,0,1,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,1512,Setúbal,15,Setúbal,PT170,AML,,,,160043|160044|160045|160725|160713|160714|160701|160702|160726
10202,Instituto Politécnico de Setúbal - Escola Superior de Saúde,38.523145,-8.841675,0,0,0,1,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,1512,Setúbal,15,Setúbal,PT170,AML,,,,160043|160044|160045|160725|160713|160714|160701|160702|160726
10203,Instituto Politécnico de Setúbal - Escola Superior de Tecnologia de Setúbal,38.521756,-8.838608,0,0,0,1,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,1512,Setúbal,15,Setúbal,PT170,AML,,,,160043|160044|160045|160725|160713|160714|160701|160702|160726
10204,Instituto Politécnico de Setúbal - Escola Superior de Tecnologia do Barreiro,38.652389,-9.048956,0,0,0,1,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,1504,Barreiro,15,Setúbal,PT170,AML,,,,040021|040023|040025|040161|040163|040164|040165|040167|090239|090240|090243|090275|090313
10205,Instituto Português de Administração de Marketing de Lisboa,38.760017,-9.193758,1,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,060057|060061|060062|060063|060065|060069|060071|060077|060357|060368|060372|060373|060447|060355
10206,Instituto Superior de Ciências da Administração,38.708364,-9.146444,1,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,060417|060418|060451|060452
10207,Instituto Superior de Ciências Educativas,38.806397,-9.191853,0,1,0,0,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,1116,Odivelas,11,Lisboa,PT170,AML,,,,110215|110369|110370|110371|110372|110477|110478|110479|110480|110481|110483|110499|110500|110501|110502|110503|110504|110505|110506|110509|110811|110812|111015
10208,Instituto Superior de Ciências Policiais e Segurança Interna,38.704298,-9.178399,1,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,060379|060380
10209,Instituto Superior de Gestão,38.781556,-9.160768,1,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,060161|060163|060173|060187|060347
10210,Instituto Superior de Gestão Bancária,38.739983,-9.147742,1,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,061216|061217|061218|061219|061220
10211,Instituto Superior de Novas Profissões,38.781346,-9.160698,1,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,060161|060163|060173|060187|060347
10212,Instituto Superior de Tecnologias Avançadas de Lisboa,38.768889,-9.160000,1,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,060157
10213,ISEC Lisboa - Instituto Superior de Educação e Ciências,38.768893,-9.159159,1,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,060157
10214,Nova School of Business and Economics,38.678220,-9.325388,1,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,1105,Cascais,11,Lisboa,PT170,AML,,,,120793|120794|050005|050421
10215,Universidade Católica Portuguesa - Medicina,38.751422,-9.311938,1,0,0,0,,,,,0,0,0,0,0,0,0,0,1,0,,,,,,1111,Sintra,11,Lisboa,PT170,AML,,,,121039|170783|170785|170786
10216,Universidade de Lisboa,38.752619,-9.158519,1,0,0,0,,,public,,0,0,0,0,0,0,0,0,1,0,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,060391|060393
10217,Universidade de Lisboa - Faculdade de Ciências,38.756028,-9.157000,1,0,0,0,,,public,,0,0,0,0,0,0,0,0,1,0,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,060287|061200
10218,Universidade de Lisboa - Faculdade de Direito,38.752419,-9.157033,1,0,0,0,,,public,,0,0,0,0,0,0,0,0,1,0,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,060391|060393
10219,Universidade de Lisboa - Faculdade de Farmácia,38.749169,-9.156944,1,0,0,0,,,public,,0,0,0,0,0,0,0,0,1,0,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,060393
10220,Universidade de Lisboa - Faculdade de Letras,38.753552,-9.157632,1,0,0,0,,,public,,0,0,0,0,0,0,0,0,1,0,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,060391|060393
10221,Universidade de Lisboa - Faculdade de Medicina,38.748333,-9.160556,1,0,0,0,,,public,,0,0,0,0,0,0,0,0,1,0,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,060393
10222,Universidade de Lisboa - Faculdade de Medicina Dentária,38.750269,-9.155739,1,0,0,0,,,public,,0,0,0,0,0,0,0,0,1,0,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,060393
10223,Universidade de Lisboa - Faculdade de Psicologia,38.752778,-9.155396,1,0,0,0,,,public,,0,0,0,0,0,0,0,0,1,0,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,060391|060393
10224,Universidade de Lisboa - Instituto de Educação,38.752778,-9.155396,1,0,0,0,,,public,,0,0,0,0,0,0,0,0,1,0,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,060391|060393
10225,Universidade de Lisboa - Instituto de Geografia e Ordenamento do Território,38.750883,-9.157661,1,0,0,0,,,public,,0,0,0,0,0,0,0,0,1,0,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,060391|060393
10226,Universidade de Lisboa - Instituto Superior de Economia e Gestão,38.709747,-9.155566,1,0,0,0,,,public,,0,0,0,0,0,0,0,0,1,0,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,060415|060421|062001
10227,Universidade de Lisboa - Instituto Superior Técnico (Tagus Park),38.736929,-9.302655,1,0,0,0,,,public,,0,0,0,0,0,0,0,0,1,0,,,,,,1110,Oeiras,11,Lisboa,PT170,AML,,,,121103|121104|121105|121106|121125
10228,Universidade Europeia,38.760017,-9.193758,1,0,0,0,,,private,,0,0,0,0,0,0,0,0,1,0,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,060057|060061|060062|060063|060065|060069|060071|060077|060357|060368|060372|060373|060447|060355
10229,Universidade Lusíada,38.698056,-9.191667,1,0,0,0,,,private,,0,0,0,0,0,0,0,0,1,0,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,060381
10230,Universidade Lusófona de Humanidades e Tecnologias,38.757751,-9.152706,1,0,0,0,,,private,,0,0,0,0,0,0,0,0,1,0,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,060283|060287|060289
10231,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,38.661283,-9.204917,0,0,1,0,,,public,,0,0,0,0,0,0,0,0,1,0,,,,,,1503,Almada,15,Setúbal,PT170,AML,,,,020313|020314|020315|020317|020357|020369|020395|020396
10232,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,38.740383,-9.151083,1,0,0,0,,,public,,0,0,0,0,0,0,0,0,1,0,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,061217|061218|061219|061220
10233,Universidade Nova de Lisboa - Faculdade de Direito,38.733667,-9.161533,1,0,0,0,,,public,,0,0,0,0,0,0,0,0,1,0,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,060017|060018|060023|060401
10234,Universidade Nova de Lisboa - Faculdade de Economia,38.732850,-9.159950,1,0,0,0,,,public,,0,0,0,0,0,0,0,0,1,0,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,060017|060018
10235,Universidade Nova de Lisboa - Instituto de Higiene e Medicina Tropical,38.699517,-9.186050,1,0,0,0,,,public,,0,0,0,0,0,0,0,0,1,0,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,060381|060382
10236,Universidade Nova de Lisboa - Instituto de Tecnologia Química e Biológica António Xavier,38.695883,-9.321700,1,0,0,0,,,public,,0,0,0,0,0,0,0,0,1,0,,,,,,1110,Oeiras,11,Lisboa,PT170,AML,,,,120821|120875|121197|121198|121199|121200|121201|121203|121237|121305
10237,Universidade Nova de Lisboa - Instituto Superior de Estatística e Gestão de Informação,38.732250,-9.160617,1,0,0,0,,,public,,0,0,0,0,0,0,0,0,1,0,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,,,,060023|060401
200098,Escola Básica de A-das-Lebres,38.852917,-9.167282,0,0,0,0,1,2023-08-30,public,Agrupamento de Escolas João Villaret Loures,1,1,0,0,0,0,0,0,0,0,R. da Liberdade 98,2660-001,FRIELAS,,,1107,Loures,11,Lisboa,PT170,AML,,eb1.adaslebres@escolas.min-edu.pt,219832364,070401|070403|070404|070405|070406|070407|070408
200116,Escola Básica de A-dos-Bispos,38.952527,-9.013643,0,0,0,0,1,0,public,Agrupamento de Escolas Professor Reynaldo dos Santos Vila Franca de Xira,0,1,0,0,0,0,0,0,0,0,Estrada de Arruda,2600-011,VILA FRANCA DE XIRA,,,1114,Vila Franca de Xira,11,Lisboa,PT170,AML,,eb1.adosbispos@escolas.min-edu.pt,263271564,180273|180274|180275|180276
200578,Escola Básica de Foros da Craveira do Norte,38.668539,-8.587495,0,0,0,0,1,2023-08-30,public,Agrupamento de Escolas de Pegões Canha e Santo Isidro Montijo,0,1,0,0,0,0,0,0,0,0,R. da Igreja,2985-201,PEGÕES,,,1507,Montijo,15,Setúbal,PT170,AML,,eb1.n2.fcnorte@escolas.min-edu.pt,265898403,100221|100222
200840,Escola Básica de Aiana de Cima,38.474184,-9.140922,0,0,0,0,1,0,public,Agrupamento de Escolas Navegador Rodrigues Soromenho Sesimbra,1,1,0,0,0,0,0,0,0,0,R. da Escola,2970-015,SESIMBRA,,,1511,Sesimbra,15,Setúbal,PT170,AML,,eb1.aianacima@escolas.min-edu.pt,212683067,150127|150128|150129|150130
201698,Escola Básica de Aldeia do Meco,38.471146,-9.169732,0,0,0,0,1,0,public,Agrupamento de Escolas Navegador Rodrigues Soromenho Sesimbra,1,1,0,0,0,0,0,0,0,0,Rua Central Do Meco,2970-058,SESIMBRA,,,1511,Sesimbra,15,Setúbal,PT170,AML,,eb1.aldeiameco@escolas.min-edu.pt,212683283,150101|150102|150103|150104|150271|150272
202241,Escola Básica de Algeruz-Lau,38.603402,-8.817577,0,0,0,0,1,2023-08-30,public,Agrupamento de Escolas de Palmela,0,1,0,0,0,0,0,0,0,0,Rua da Escola,2950-065,PALMELA,,,1508,Palmela,15,Setúbal,PT170,AML,,eb1.algeruzlau@escolas.min-edu.pt,212381093,130185|130186
202332,Escola Básica de Algueirão,38.804896,-9.339327,0,0,0,0,1,0,public,Agrupamento de Escolas do Algueirão Sintra,1,1,0,0,0,0,0,0,0,0,Estrada de Algueirão,2725-023,MEM MARTINS,,,1111,Sintra,11,Lisboa,PT170,AML,,eb1.algueirao@escolas.min-edu.pt,219262647,170219|170220|170283|170285|170286|170287|170387|171599
202940,Escola Básica do Alto da Guerra,38.527204,-8.885259,0,0,0,0,1,0,public,Agrupamento de Escolas Luísa Todi Setúbal,0,1,0,0,0,0,0,0,0,0,R. Gonçalves Melo Branco,2910-000,SETÚBAL,,,1512,Setúbal,15,Setúbal,PT170,AML,,eb1.altoguerra@escolas.min-edu.pt,265772456,160063|160064|160141|160213|160066|160065
203993,Escola Básica n.º 1 de Apelação,38.814767,-9.134708,0,0,0,0,1,2023-08-30,public,Agrupamento de Escolas Maria Keil Loures,1,1,0,0,0,0,0,0,0,0,R. das Escolas,2680-321,APELAÇÃO,,,1107,Loures,11,Lisboa,PT170,AML,,eb1.apelacao@escolas.min-edu.pt,219487520,070502|070501
204067,Escola Básica de Arcena,38.954610,-9.000048,0,0,0,0,1,0,public,Agrupamento de Escolas do Bom Sucesso Vila Franca de Xira,0,1,0,0,0,0,0,0,0,0,R. Maria Lamas,2615-000,ALVERCA DO RIBATEJO,,,1114,Vila Franca de Xira,11,Lisboa,PT170,AML,,eb1.arcena@escolas.min-edu.pt,219584916,180243|180244|180242|180241|180763|180764|180761|180762|180760|180759
204900,Escola Básica de Arruda dos Vinhos,38.981148,-9.080064,0,0,0,0,1,2023-09-13,public,Agrupamento de Escolas de Arruda dos Vinhos,1,1,0,0,0,0,0,0,0,0,"Rua Luís de Camões, 36",2630-253,Arruda dos Vinhos,,,1102,Arruda dos Vinhos,11,Lisboa,PT16B,Oeste,,,,200029|200030|200031|200033
205357,Escola Básica de Novos Trilhos,38.708475,-8.922283,0,0,0,0,1,2023-08-30,public,Agrupamento de Escolas Poeta Joaquim Serra Montijo,1,1,0,0,0,0,0,0,0,0,Rua 28 de Setembro,2870-716,ATALAIA MTJ,,,1507,Montijo,15,Setúbal,PT170,AML,,eb1.atalaiacci6001@escolas.min-edu.pt,212315505,100291|100292|100431|100432
205977,Escola Básica de Azoia,38.430152,-9.189473,0,0,0,0,1,0,public,Agrupamento de Escolas Navegador Rodrigues Soromenho Sesimbra,1,1,0,0,0,0,0,0,0,0,R. da Escola Casais da Azoia,2970-165,SESIMBRA,,,1511,Sesimbra,15,Setúbal,PT170,AML,,eb1.asesimbracastelo@escolas.min-edu.pt,212685206,150167|150168|150169
206246,Escola Básica do Bairro Alentejano,38.569474,-8.898844,0,0,0,0,1,2023-08-30,public,Agrupamento de Escolas de Palmela,1,1,0,0,0,0,0,0,0,0,R. Escola,2950-528,QUINTA DO ANJO,,,1508,Palmela,15,Setúbal,PT170,AML,,eb1.alentejano@escolas.min-edu.pt,212138194,130055|130057|130046|130045|130059
206635,Escola Básica de Barra Cheia,38.608326,-9.001238,0,0,0,0,1,0,public,Agrupamento de Escolas Fragata do Tejo Moita,0,1,0,0,0,0,0,0,0,0,Estrada Municipal 1020,2860-217,ALHOS VEDROS,,,1506,Moita,15,Setúbal,PT170,AML,,eb1.barracheia@escolas.min-edu.pt,212130576,090291|090292|090293|090294
