id,name,lat,lon,A1,A2,A3,A4,is_active,validation_date,address,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,url,email,phone,stops
SH0001,Armazéns da Ajuda,38.703251,-9.199685,1,0,0,0,1,2023-08-25,"Calçada da Ajuda, 89-93;",,01,Ajuda,06,Lisboa,11,Lisboa,PT170,AML,,webmaster@lojasehorarios.com.pt,213638576,
SH0002,Galeria Comercial da Estação Ferroviária do Cais do Sodré,38.705956,-9.144250,1,0,0,0,1,2023-08-25,"Cais do Sodré, Estação CP;",,61,Misericórdia,06,Lisboa,11,Lisboa,PT170,AML,,carmo.ferreira@infraestruturasdeportugal.pt,212879000,060419|060451|060452|062000
SH0003,Armazéns do Chiado,38.710973,-9.139361,1,0,0,0,1,2023-08-25,"Rua Nova do Almada, 102-126 - Rua do Crucifixo, 81-125 - Rua do Carmo, 2-24",,65,Santa Maria Maior,06,Lisboa,11,Lisboa,PT170,AML,www.armazensdochiado.com,armazensdochiado@multi-mallmanagement.com,21 321 06 00,
SH0004,Centro Comercial e Cultural Espaço Chiado,38.711293,-9.142561,1,0,0,0,1,2023-08-25,"Rua Nova da Trindade, 5-5G - Rua da Misericórdia, 12-20",,65,Santa Maria Maior,06,Lisboa,11,Lisboa,PT170,AML,,espacochiado@sapo.pt,21 322 55 69/21 347 25 79,
SH0005,Centro Comercial Mouraria,38.716396,-9.135428,1,0,0,0,1,2023-08-25,"Rua Fernandes da Fonseca, 1-1B - Rua da Mouraria, 1-1G - Rua da Senhora da Saúde, 2-2I",,65,Santa Maria Maior,06,Lisboa,11,Lisboa,PT170,AML,,,21 888 09 04,
SH0006,Centro Comercial Martim Moniz,38.716704,-9.136686,1,0,0,0,1,2023-08-25,"Rua da Palma, Centro Comercial - Rua José António Serrano, 4-4G",,65,Santa Maria Maior,06,Lisboa,11,Lisboa,PT170,AML,,geral@portalmartimmoniz.pt,,
SH0007,Embaixada,38.716911,-9.148389,1,0,0,0,1,2023-08-25,"Praça do Príncipe Real, 26",,66,Santo António,06,Lisboa,11,Lisboa,PT170,AML,www.embaixada.embaixadalx.pt,geral@eastbanc.com,,
SH0008,Tivoli Forum,38.720381,-9.144577,1,0,0,0,1,2023-08-25,"Avenida da Liberdade, 180 - Rua Manuel de Jesus Coelho, 3 - Rua de São José, 189-193;",,66,Santo António,06,Lisboa,11,Lisboa,PT170,AML,,avenidaliberdade@tivoli-hotels.com,21 316 13 92,
SH0009,Amoreiras Plaza,38.722618,-9.160741,1,0,0,0,1,2023-08-25,"Rua Carlos Alberto da Mota Pinto, 9-9G - Rua Maria Ulrich, 1 - Rua Silva Carvalho, 321-321C",,59,Campo de Ourique,06,Lisboa,11,Lisboa,PT170,AML,,,213851748/213851717,060027|060037
SH0010,Centro Comercial Castil,38.722880,-9.151994,1,0,0,0,1,2023-08-25,"Rua Castilho, 39-39B - Rua Braamcamp, 42-46",,66,Santo António,06,Lisboa,11,Lisboa,PT170,AML,http://www.roselynsilva.com/,edificio-castil@hotmail.com,,
