id,name,lat,lon,A1,A2,A3,A4,phone,email,url,address,postal_code,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,site
SSP001,Segurança Social - Serviço Local da Amadora,38.757734,-9.235373,,,,, 300 502 502 ,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Seguran%C3%A7a%20Social%20-%20Servi%C3%A7o%20Local%20da%20Amadora,"Rua Alfredo Keil, 13 A",2704-510,Amadora,,,1115,Amadora,,,,,030317|030319|030467|030469|030475|030477|030479|030539|030601|030685|030821|030845|030869|030880
SSP002,CNP - Centro Nacional de Pensões,38.741050,-9.149188,,,,, 300 502 502 ,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/CNP%20-%20Centro%20Nacional%20de%20Pens%C3%B5es,"Av. de Berna, 18 B",1069-451,Lisboa,,,1106,Lisboa,,,,,061217|061218|061219|061220
SSP003,Segurança Social - Centro Nacional de Apoio à Integração de Migrantes Lisboa (CNAIM),38.724903,-9.134453,,,,, 300 502 502 ,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Seguran%C3%A7a%20Social%20-%20Centro%20Nacional%20de%20Apoio%20%C3%A0%20Integra%C3%A7%C3%A3o%20de%20Migrantes%20Lisboa%20(CNAIM),"Rua Álvaro Coutinho, 14",1150-025,Lisboa,,,1106,Lisboa,,,,,
SSP004,Segurança Social - Serviço Informativo Sede - Lisboa,38.741050,-9.149188,,,,, 300 502 502 ,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Seguran%C3%A7a%20Social%20-%20Servi%C3%A7o%20Informativo%20Sede%20-%20Lisboa,"Av. de Berna, 18 B",1069-451,Lisboa,,,1106,Lisboa,,,,,061217|061218|061219|061220
SSP005,Serviço de Atendimento de Gestão de Imóveis - Sul do Instituto de Gestão Financeira da Segurança Social,38.740439,-9.146868,,,,, 300 502 502 ,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Servi%C3%A7o%20de%20Atendimento%20de%20Gest%C3%A3o%20de%20Im%C3%B3veis%20-%20Sul%20do%20Instituto%20de%20Gest%C3%A3o%20Financeira%20da%20Seguran%C3%A7a%20Social,"Avenida da República, n.º 67",1069-033,Lisboa,,,1106,Lisboa,,,,,061216|061217|061218
SSP006,Serviço de Atendimento de Lisboa do Instituto de Gestão Financeira da Segurança Social,38.740439,-9.146868,,,,, 300 502 502 ,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Servi%C3%A7o%20de%20Atendimento%20de%20Lisboa%20do%20Instituto%20de%20Gest%C3%A3o%20Financeira%20da%20Seguran%C3%A7a%20Social,"Avenida da República, n.º 67",1069-033,Lisboa,,,1106,Lisboa,,,,,061216|061217|061218
SSP007,Serviço de Atendimento do Fundo de Garantia de Alimentos Devidos a Menores do Instituto de Gestão Financeira da Segurança Social,38.739552,-9.136782,,,,, 300 502 502 ,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Servi%C3%A7o%20de%20Atendimento%20do%20Fundo%20de%20Garantia%20de%20Alimentos%20Devidos%20a%20Menores%20do%20Instituto%20de%20Gest%C3%A3o%20Financeira%20da%20Seguran%C3%A7a%20Social,Avenida Manuel da Maia n.º 58,1049-002,Lisboa,,,1106,Lisboa,,,,,
SSP008,Segurança Social - Serviço Local de Algés,38.699707,-9.232062,,,,, 300 502 502 ,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Seguran%C3%A7a%20Social%20-%20Servi%C3%A7o%20Local%20de%20Alg%C3%A9s,Alameda Hermano Patrone - Palácio Ribamar,1495-064,Algés,,,1110,Oeiras,,,,,120079|120083|120201|120263|120265|120266
SSP009,Segurança Social - Serviço Local de Oeiras/Paço D'Arcos,38.701075,-9.293890,,,,, 300 502 502 ,,https://eportugal.gov.pt/locais-de-atendimento-de-servicos-publicos/-/pesquisa/search_stores?_searchresults_formDate=1697476122491&_searchresults_keywords=&_searchresults_keywords2=&_searchresults_portalCategoryTypesId=&_searchresults_LojasEspacos+47584873=on&_searchresults_Distritos+238422=on&_searchresults_Concelhos+50156282=on&_searchresults_checkboxNames=LojasEspacos+47584873%2CDistritos+238422%2CConcelhos+50156271%2CConcelhos+50156272%2CConcelhos+50156274%2CConcelhos+50156275%2CConcelhos+50156277%2CConcelhos+50156278%2CConcelhos+50156279%2CConcelhos+50156280%2CConcelhos+50156282%2CConcelhos+50156283%2CConcelhos+50156284%2CConcelhos+50156285%2CConcelhos+50156286%2CPaises+25291018&pageSequenceNumber=2,"Estrada de Paço d' Arcos, 9, Edíficio Espaço",2770-218,Paço de Arcos,,,1110,Oeiras,,,,,120605|120607|120608|120609|120610|120627|120687|120767|120768|120890|120891|121310|121311|121312|121313
SSP010,Segurança Social - Serviço Local de Pero Pinheiro,38.857944,-9.322344,,,,, 300 502 502 ,,https://eportugal.gov.pt/locais-de-atendimento-de-servicos-publicos/-/pesquisa/search_stores?_searchresults_formDate=1697476152875&_searchresults_keywords=&_searchresults_keywords2=&_searchresults_portalCategoryTypesId=&_searchresults_LojasEspacos+47584873=on&_searchresults_Distritos+238422=on&_searchresults_Concelhos+50156283=on&_searchresults_checkboxNames=LojasEspacos+47584873%2CDistritos+238422%2CConcelhos+50156271%2CConcelhos+50156272%2CConcelhos+50156274%2CConcelhos+50156275%2CConcelhos+50156277%2CConcelhos+50156278%2CConcelhos+50156279%2CConcelhos+50156280%2CConcelhos+50156282%2CConcelhos+50156283%2CConcelhos+50156284%2CConcelhos+50156285%2CConcelhos+50156286%2CPaises+25291018&pageSequenceNumber=2,"Rua Casal dos Ossos, n.º 30 - Edifício Multiusos",2715-083,Pêro Pinheiro,,,1111,Sintra,,,,,172019|172559|172560
SSP011,Segurança Social - Serviço Local de Queluz,38.754644,-9.255748,,,,, 300 502 502 ,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Seguran%C3%A7a%20Social%20-%20Servi%C3%A7o%20Local%20de%20Queluz,"Av. da República, 75/79, r/c",2745-209,Queluz,,,1111,Sintra,,,,,170927|170928|172059|172061|172063|172067|172069|172071|172073|172476|172495|172499
SSP012,Segurança Social - Serviço Local de Sintra,38.801957,-9.387724,,,,, 300 502 502 ,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Seguran%C3%A7a%20Social%20-%20Servi%C3%A7o%20Local%20de%20Sintra,"Av. Barão Almeida Santos, 10/12 - Quinta dos Plátanos",2710-525,Sintra,,,1111,Sintra,,,,,0171917
SSP013,Segurança Social - Serviço Local de Loures,38.830509,-9.165343,,,,, 300 502 502 ,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Seguran%C3%A7a%20Social%20-%20Servi%C3%A7o%20Local%20de%20Loures,"Travessa Luís Pereira da Mota, 5",2670-448 ,Loures,,,1107,Loures,,,,,070029|070032|070037|070250|070453|070479
SSP014,Segurança Social - Serviço Local da Ericeira,38.964342,-9.417213,,,,, 300 502 502 ,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Seguran%C3%A7a%20Social%20-%20Servi%C3%A7o%20Local%20da%20Ericeira,Largo do Prim,2655-341,Ericeira,,,1109,Mafra,,,,,080107|080563|080564|080736|080737|080759|080761
SSP015,Segurança Social - Serviço Local de Vila Franca de Xira,38.954123,-8.993680,,,,, 300 502 502 ,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Seguran%C3%A7a%20Social%20-%20Servi%C3%A7o%20Local%20de%20Vila%20Franca%20de%20Xira,"Alameda Capitães de abril, n.º 14",2600-125,Vila Franca de Xira,,,1114,Vila Franca de Xira,,,,,180239|180240
SSP016,Segurança Social - Serviço Local de Almada,38.683969,-9.150596,,,,, 300 502 502 ,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Seguran%C3%A7a%20Social%20-%20Servi%C3%A7o%20Local%20de%20Almada,"Av. 25 de Abril, 34",2804-516,Almada,,,1503,Almada,,,,,020031|020033|020035|020039|020041|020043|020115|020199|020213|020215|020217|020221|021067
SSP017,Segurança Social - Serviço Local de Amora/Seixal,38.629956,-9.118061,,,,, 300 502 502 ,,https://eportugal.gov.pt/locais-de-atendimento-de-servicos-publicos/-/pesquisa/search_stores?_searchresults_formDate=1697476207018&_searchresults_keywords=&_searchresults_keywords2=&_searchresults_portalCategoryTypesId=&_searchresults_LojasEspacos+47584873=on&_searchresults_Distritos+238426=on&_searchresults_Concelhos+50156350=on&_searchresults_checkboxNames=LojasEspacos+47584873%2CDistritos+238426%2CConcelhos+50156342%2CConcelhos+50156343%2CConcelhos+50156344%2CConcelhos+50156345%2CConcelhos+50156346%2CConcelhos+50156347%2CConcelhos+50156349%2CConcelhos+50156350%2CConcelhos+50156351%2CConcelhos+50156352%2CConcelhos+50156353%2CPaises+25291018&pageSequenceNumber=2,"Av. Baía Natural do Seixal, 996",2845-415,Seixal,,,1510,Seixal,,,,,140143|140144|140149|140150|140151|140152|140153|140154|140155|140156|140297|140309|140310|149000
SSP018,Segurança Social - Serviço Local de Sesimbra,38.444739,-9.098538,,,,, 300 502 502 ,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Seguran%C3%A7a%20Social%20-%20Servi%C3%A7o%20Local%20de%20Sesimbra,"Rua Amélia Frade, 13-C",2970-712,Sesimbra,,,1511,Sesimbra,,,,,150423|150451|150453|150455|150463|150465|150467|150477|150479|150481|150610
SSP019,Segurança Social - Serviço Local do Barreiro,38.660953,-9.081462,,,,, 300 502 502 ,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Seguran%C3%A7a%20Social%20-%20Servi%C3%A7o%20Local%20do%20Barreiro,"Rua do Instituto Ferroviário Sul e Sueste, 3",2830-335,Barreiro,,,1504,Barreiro,,,,,040079|040080
