id,name,lat,lon,A1,A2,A3,A4,phone,email,url,address,postal_code,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,stops
FS0001,Serviço de Finanças - Amadora 1,38.759312,-9.232758,,,,, 214 929 300/1/2/3,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Servi%C3%A7o%20de%20Finan%C3%A7as%20-%20Amadora%201,"Rua Henrique Nogueira, 22 A",2704-501,Amadora,,,1115,Amadora,,,,,030093|030095|030101|030103|030105
FS0002,Serviço de Finanças - Amadora 2,38.753109,-9.212416,,,,, 214758800 ,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Servi%C3%A7o%20de%20Finan%C3%A7as%20-%20Amadora%202,"Praceta Alves Cunha, 3",2704-502,Amadora,,,1115,Amadora,,,,,030289|030290|030291|030292|030297|030299|030300|030301|030302
FS0003,Serviço de Finanças - Amadora 3,38.753465,-9.229402,,,,,214950089 ,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Servi%C3%A7o%20de%20Finan%C3%A7as%20-%20Amadora%203,"Rua Correia Teles, 1, R/C",2720-001 ,Amadora,,,1115,Amadora,,,,,030457|030458|030461|030462|030463|030464|030465|030481|030483|030537|030538|030837|030839|030840|030841|030865|030866|030867|030868
FS0004,Serviço de Finanças - Cascais 1,38.699379,-9.424065,,,,, 214849900,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Servi%C3%A7o%20de%20Finan%C3%A7as%20-%20Cascais%201,"Av. Ultramar, Edifício Vimar, 3 – 5",2750-506,Cascais,,,1105,Cascais,,,,,050251|050317
FS0005,Serviço de Finanças - Cascais 2,38.690254,-9.338605,,,,,214 584 510/1/2,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Servi%C3%A7o%20de%20Finan%C3%A7as%20-%20Cascais%202,"Rua Dr. José Joaquim de Almeida, 905",2775-595,Parede,,,1105,Cascais,,,,,050149|050150|050151|050152|050155|050157
FS0006,Serviço de Finanças - Lisboa 1,38.724342,-9.128741,,,,,218101060 ,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Servi%C3%A7o%20de%20Finan%C3%A7as%20-%20Lisboa%201,"Av. General Roçadas, 11-B",1199-004 ,Lisboa,,,1106,Lisboa,,,,,
FS0007,Serviço de Finanças - Lisboa 10,38.730283,-9.146766,,,,, 213 584 340,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Servi%C3%A7o%20de%20Finan%C3%A7as%20-%20Lisboa%2010,"Av. Fontes Pereira de Melo, 30-B – R/C",1069-096,Lisboa,,,1106,Lisboa,,,,,
FS0008,Serviço de Finanças - Lisboa 11,38.773429,-9.160272,,,,,217 544 100/106,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Servi%C3%A7o%20de%20Finan%C3%A7as%20-%20Lisboa%2011,"R. República do Paraguai, 22",1769-002,Lisboa,,,1106,Lisboa,,,,,060159|060167|060241|060243|060345
FS0009,Serviço de Finanças - Lisboa 2,38.722735,-9.153250,,,,,213808390,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Servi%C3%A7o%20de%20Finan%C3%A7as%20-%20Lisboa%202,"Rua Rodrigo da Fonseca, 57",1250-190,Lisboa,,,1106,Lisboa,,,,,060035|060407
FS0010,Serviço de Finanças - Lisboa 3,38.710723,-9.137207,,,,, 213401180,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Servi%C3%A7o%20de%20Finan%C3%A7as%20-%20Lisboa%203,"Rua dos Correeiros, 70 – 1.º",1100-167,Lisboa,,,1106,Lisboa,,,,,
FS0011,Serviço de Finanças - Lisboa 4,38.734177,-9.137301,,,,,218 411 600 ,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Servi%C3%A7o%20de%20Finan%C3%A7as%20-%20Lisboa%204,"Rua Ponta Delgada, 69",1000-241,Lisboa,,,1106,Lisboa,,,,,
FS0012,Serviço de Finanças - Lisboa 5,38.752724,-9.203920,,,,,217 621 140/49,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Servi%C3%A7o%20de%20Finan%C3%A7as%20-%20Lisboa%205,"Rua Amélia Rey Colaço, 7-B",1549-013,Lisboa,,,1106,Lisboa,,,,,060041|060043|060044|060051
FS0013,Serviço de Finanças - Lisboa 6,38.774083,-9.113350,,,,,218 554 200/37 ,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Servi%C3%A7o%20de%20Finan%C3%A7as%20-%20Lisboa%206,"Rua General Silva Freire, 158 – 1.º",1849-028,Lisboa,,,1106,Lisboa,,,,,
FS0014,Serviço de Finanças - Lisboa 7,38.710627,-9.211628,,,,,213617530,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Servi%C3%A7o%20de%20Finan%C3%A7as%20-%20Lisboa%207,"Rua Alfredo Soares, 2-A",1400-006,Lisboa,,,1106,Lisboa,,,,,060091|060092
FS0015,Serviço de Finanças - Lisboa 8,38.756158,-9.142597,,,,, 218418820 ,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Servi%C3%A7o%20de%20Finan%C3%A7as%20-%20Lisboa%208,"Rua Centro Cultural, 12",1749-065,Lisboa,,,1106,Lisboa,,,,,060279|060293
FS0016,Serviço de Finanças - Lisboa 9,38.753156,-9.112861,,,,,218 392 350/1/3,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Servi%C3%A7o%20de%20Finan%C3%A7as%20-%20Lisboa%209,"Rua Luiz Pacheco, Lotes 103 e 104",1950-244,Lisboa,,,1106,Lisboa,,,,,
FS0017,Serviço de Finanças - Oeiras 1,38.700141,-9.292695,,,,, 214111600/27 ,,https://eportugal.gov.pt/web/guest/pesquisa/-/pesquisa/tudo/Servi%C3%A7o%20de%20Finan%C3%A7as%20-%20Oeiras%201,"Rua Conde das Alcáçovas, 28",2774-519,Paço de Arcos,,,1110,Oeiras,,,,,120605|120607|120608|120627|120629|120631|120632|120673|120687|120769|120890|120891|121310|121311|121312|121313
