id,name,lat,lon,A1,A2,A3,A4,is_active,validation_date,address,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,url,email,phone,stops
TH0001,Gabinete curiosidades Karnart,38.694272,-9.211664,1,0,0,0,1,45163,"Avenida da Índia, 168",,58,Belém,06,Lisboa,11,Lisboa,PT170,AML,www.karnart.org,geral@karnart.org,=+351 213 466 411/+351 914 150 935,
TH0002,Academia Dramática Familiar 1º de Novembro,38.694608,-9.217808,1,0,0,0,1,45163,"Rua da Praia de Pedrouços, 76-78",,58,Belém,06,Lisboa,11,Lisboa,PT170,AML,,,=+351 213 012 601,
TH0003,LU.CA - Teatro Luís de Camões,38.699027,-9.199379,1,0,0,0,1,45163,"Calçada da Ajuda, 80",,58,Belém,06,Lisboa,11,Lisboa,PT170,AML,www.lucateatroluisdecamoes.pt,info@lucateatroluisdecamoes.pt,=+351 215 939 100,060101|060107|060383|060384
TH0004,Espaço POGO,38.705699,-9.153877,1,0,0,0,1,45163,"Rua da Cintura do Porto de Lisboa, Edifício 403",,60,Estrela,06,Lisboa,11,Lisboa,PT170,AML,http://www.pogo.pt,info@pogo.pt,=+351 916 403 994,060415|062001
TH0005,Teatro Cinearte,38.707179,-9.155238,1,0,0,0,1,45163,"Largo de Santos, 2-2E",,60,Estrela,06,Lisboa,11,Lisboa,PT170,AML,www.abarraca.com,barraca@mail.telepac.pt / bilheteira@abarraca.com,21 396 53 60/275,060415|060421|062001
TH0006,Espaço Ribeira,38.707637,-9.145621,1,0,0,0,1,45163,"Rua da Ribeira Nova, 44",,61,Misericórdia,06,Lisboa,11,Lisboa,PT170,AML,www.primeiros-sintomas.com,primeiros-sintomas@primeiros-sintomas.com,=+351 210 964 851,060419|060451|060452|062000
TH0007,Estúdio Mário Viegas,38.709078,-9.142437,1,0,0,0,1,45163,Largo do Picadeiro,,65,Santa Maria Maior,06,Lisboa,11,Lisboa,PT170,AML,www.teatrosaoluiz.pt,,=+351 213 257 650,
TH0008,São Luiz Teatro Municipal,38.709214,-9.142291,1,0,0,0,1,45163,"Rua António Maria Cardoso, 38",,65,Santa Maria Maior,06,Lisboa,11,Lisboa,PT170,AML,www.teatrosaoluiz.pt,info@teatrosaoluiz.pt,=+351 213 257 650,
TH0009,Teatro Nacional de São Carlos,38.709340,-9.141734,1,0,0,0,1,45163,"Rua Serpa Pinto, 9",,65,Santa Maria Maior,06,Lisboa,11,Lisboa,PT170,AML,tnsc.pt,info@saocarlos.pt,=+351 213 253 000,
TH0010,Gota TeatroOficina,38.710695,-9.133988,1,0,0,0,1,45163,Calçada do Correio Velho 16 R/C,,65,Santa Maria Maior,06,Lisboa,11,Lisboa,PT170,AML,http://fazdegota.blogspot.com/,,21 882 54 06,
TH0011,Café - Teatro Santiago Alquimista,38.711071,-9.131669,1,0,0,0,1,45163,"Rua de Santiago, 19",,65,Santa Maria Maior,06,Lisboa,11,Lisboa,PT170,AML,www.santiagoalquimista.com/,mail@santiagoalquimista.com,21 888 45 03,
TH0012,Mini-teatro da Calçada,38.711040,-9.148879,1,0,0,0,1,45163,"Calçada do Combro, 147,  R/C",,61,Misericórdia,06,Lisboa,11,Lisboa,PT170,AML,,miniteatro147@gmail.com,=+351 916 760 221,
TH0013,Companhia do Chapitô,38.711367,-9.133876,1,0,0,0,1,45163,Costa do Castelo 7 R/C,,65,Santa Maria Maior,06,Lisboa,11,Lisboa,PT170,AML,http://chapito.org/,mail@chapito.org,(+351) 218 855 550,
TH0014,Espaço Negócio,38.711358,-9.147297,1,0,0,0,1,45163,"Rua de O Século, 9 - Porta 5",,61,Misericórdia,06,Lisboa,11,Lisboa,PT170,AML,www.zedosbois.org,zdb@zedosbois.org,=+351 213 430 205,
