id,name,lat,lon,is_active,validation_date,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,stops
TRAIN_001,Praias do Sado A,38.518151,-8.837840,,,,,,1512,Setúbal,15,Setúbal,PT170,AML,160699|160700|160701|160702|160713|160714
TRAIN_002,Setúbal - Praça Quebedo,38.524850,-8.886579,,,,,,1512,Setúbal,15,Setúbal,PT170,AML,160063|160064|160139|160349|160883
TRAIN_003,Setúbal,38.530688,-8.885298,,,,,,1512,Setúbal,15,Setúbal,PT170,AML,160067|160068|160095|160117|160118|160141|160201|160213|162001|162002|162003|162004|162005|162006|162007|162008|162011
TRAIN_004,Palmela,38.571094,-8.872695,,,,,,1508,Palmela,15,Setúbal,PT170,AML,
TRAIN_005,Coina,38.584995,-9.051202,,,,,,1510,Seixal,15,Setúbal,PT170,AML,140027|140028|140857
TRAIN_006,Penalva,38.590223,-8.995550,,,,,,1508,Palmela,15,Setúbal,PT170,AML,130093
TRAIN_007,Venda do Alcaide,38.606482,-8.888855,,,,,,1508,Palmela,15,Setúbal,PT170,AML,
TRAIN_008,Fogueteiro,38.610217,-9.101295,,,,,,1510,Seixal,15,Setúbal,PT170,AML,140039|140041|140042|140139|140537|140555|140587|140588|140589|149003|149992|149993
TRAIN_009,Foros de Amora,38.620925,-9.128522,,,,,,1510,Seixal,15,Setúbal,PT170,AML,140167|140168|140209|140210|149989|149990|149991
TRAIN_010,Pinhal Novo,38.630108,-8.912776,,,,,,1508,Palmela,15,Setúbal,PT170,AML,130229|130230
TRAIN_011,Poceirão,38.634495,-8.743383,,,,,,1508,Palmela,15,Setúbal,PT170,AML,130159|130160
TRAIN_012,Fernando - Pó,38.636480,-8.691080,,,,,,1508,Palmela,15,Setúbal,PT170,AML,130285|130286
TRAIN_013,Corroios,38.636594,-9.151559,,,,,,1510,Seixal,15,Setúbal,PT170,AML,140089|140349|140350|140691|140693|140694|149996|149997|149998|149999
TRAIN_014,Penteado,38.638296,-8.956763,,,,,,1506,Moita,15,Setúbal,PT170,AML,
TRAIN_015,Moita,38.644774,-8.995962,,,,,,1506,Moita,15,Setúbal,PT170,AML,090051|090052|090053|090054
TRAIN_016,Alhos Vedros,38.651942,-9.026952,,,,,,1506,Moita,15,Setúbal,PT170,AML,090013|090014|090015|090047|090185|090211|090213|090312|090314
TRAIN_017,Barreiro,38.652590,-9.079407,,,,,,1504,Barreiro,15,Setúbal,PT170,AML,040013|040020|040022|040024|040026|040027
TRAIN_018,Baixa da Banheira,38.659346,-9.043600,,,,,,1506,Moita,15,Setúbal,PT170,AML,090193|090194|090195|090201|090202|090209
TRAIN_019,Pegões,38.662247,-8.619210,,,,,,1507,Montijo,15,Setúbal,PT170,AML,
TRAIN_020,Barreiro-A,38.659652,-9.071699,,,,,,1504,Barreiro,15,Setúbal,PT170,AML,040137|040139|040140|040179
TRAIN_021,Lavradio,38.661824,-9.058303,,,,,,1504,Barreiro,15,Setúbal,PT170,AML,040103
TRAIN_022,São João das Craveiras,38.667923,-8.585784,,,,,,1507,Montijo,15,Setúbal,PT170,AML,100219|100220|100221|100222
TRAIN_023,Pragal,38.666225,-9.179246,,,,,,1503,Almada,15,Setúbal,PT170,AML,020073|020275|020276|020769|027997|027998|027999
TRAIN_024,Santo Amaro,38.686900,-9.311946,,,,,,1110,Oeiras,11,Lisboa,PT170,AML,120815|120835|120837|120873
TRAIN_025,Carcavelos,38.687813,-9.337409,,,,,,1105,Cascais,11,Lisboa,PT170,AML,050009|050418
TRAIN_026,Oeiras,38.688569,-9.319063,,,,,,1110,Oeiras,11,Lisboa,PT170,AML,120729|120787|120788|120803|120804|120813|120879|121187|121188|121207|121235|121270|121272|121291|121297
TRAIN_027,Parede,38.689777,-9.356478,,,,,,1105,Cascais,11,Lisboa,PT170,AML,050043|050047
TRAIN_028,Paço de Arcos,38.691833,-9.302050,,,,,,1110,Oeiras,11,Lisboa,PT170,AML,120841|120842|120843|120881|120882|120883|120884
TRAIN_029,Belém,38.696195,-9.197392,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,060101|060107|060383|060384
TRAIN_030,São Pedro do Estoril,38.695368,-9.371595,,,,,,1105,Cascais,11,Lisboa,PT170,AML,
TRAIN_031,Algés,38.698285,-9.229009,,,,,,1110,Oeiras,11,Lisboa,PT170,AML,120081|120261|120325|120327|120328|120339|120340|121061|121095|121308|121309
TRAIN_032,Caxias,38.698770,-9.274422,,,,,,1110,Oeiras,11,Lisboa,PT170,AML,120587|120661|120662
TRAIN_033,Cruz Quebrada,38.699797,-9.252115,,,,,,1110,Oeiras,11,Lisboa,PT170,AML,120127|120129|120130|120137|121159|121161|121162
TRAIN_034,Alcântara-Mar,38.702356,-9.174033,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,060379|062002|062003
TRAIN_035,Cascais,38.700861,-9.417923,,,,,,1105,Cascais,11,Lisboa,PT170,AML,050205|050247|050319|050419|050424
TRAIN_036,São João do Estoril,38.701251,-9.385950,,,,,,1105,Cascais,11,Lisboa,PT170,AML,
TRAIN_037,Estoril,38.703250,-9.398707,,,,,,1105,Cascais,11,Lisboa,PT170,AML,050359|050409
TRAIN_038,Cais do Sodré,38.705991,-9.145147,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,060419|060451|060452|062000
TRAIN_039,Monte Estoril,38.703553,-9.406545,,,,,,1105,Cascais,11,Lisboa,PT170,AML,050401|050413
TRAIN_040,Santos,38.706266,-9.154441,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,060415
TRAIN_041,Alcântara-Terra,38.707487,-9.173338,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,060019|060021|060380|060409
TRAIN_042,Santa Apolónia,38.713818,-9.123032,,,,,,1106,Lisboa,11,Lisboa,PT170,AML,
